#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5300.0579519146095    All      0.8643086275239433        0.37215208838130565        -0.00021588500799759992    -0.16032121022434312       
Zeropoint     AB|SDSS|SDSS_i            6427.246622482591     All      0.9733066780074962        0.005342294741694786       0.05420902023402696        -0.31287874511196734       
Zeropoint     AB|SDSS|SDSS_z            7641.460467513097     All      0.0867759452426425        -0.0011733516689815815     0.059883933188457306       -0.025975634548796558      
Zeropoint     AB|SDSS|SDSS_g            4056.0600490454494    All      -0.8520214056617725       0.592189764754103          -0.11864869031294062       0.4651323452257338         
Zeropoint     AB|SDSS|SDSS_u            3084.5791109399906    All      -0.08011562201981068      0.03168881666049117        0.00657924752096962        0.036711985534421725       
Check         All|All|All               All                   All      0.9922542230924984        1.000199612868613          0.001807625622515666       0.002668740875048585       
Lambda        AB|SDSS|SDSS_r            5300.0579519146095    All      7.991914884013761e-05     2.805263254885423e-05      -0.002090291346090485      -0.00011017473312888596    
Lambda        AB|SDSS|SDSS_i            6427.246622482591     All      -0.0003073685006121762    -3.5211017709110415e-05    -0.000699863304789074      5.741896095992269e-05      
Lambda        AB|SDSS|SDSS_z            7641.460467513097     All      -5.293744231426325e-06    -5.594281365218821e-07     -1.1340340327193603e-05    1.036055201980104e-06      
Lambda        AB|SDSS|SDSS_g            4056.0600490454494    All      -0.0006974136162284265    0.00041740079572383037     -0.00036121660484508426    0.0003470122922112314      
Lambda        AB|SDSS|SDSS_u            3084.5791109399906    All      -6.706223572020001e-05    2.5969462502795517e-05     4.742828404759191e-06      3.051513541187216e-05      
MWEBV         All|All|All               All                   All      -0.7418070015424001       -3.3176461451407846        0.04285804433309358        -0.8371229939820035        
Redshift      All|All|All               All                   All      6.146054844224675         -0.673330771363112         2.127877698732356          -2.126340837414155         
