#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_r            5300.0579519146095    All      0.8020578043081918        0.3118213840792805        -0.15795898473853764       -0.16673511437722832       
Zeropoint     AB|SDSS|SDSS_i            6427.246622482591     All      1.0642910046821252        -0.011764402301395194     -0.18540695339792634       -0.35878050801271544       
Zeropoint     AB|SDSS|SDSS_z            7641.460467513097     All      0.1196909018816823        0.0021681136146867175     0.153467082142833          -0.031432507496230444      
Zeropoint     AB|SDSS|SDSS_g            4056.0600490454494    All      -0.9574664401109141       0.6724694385479069        0.08343169726852118        0.5346469124379832         
Zeropoint     AB|SDSS|SDSS_u            3084.5791109399906    All      -0.03683642678707683      0.02540757525810733       0.1054807658033674         0.024982041355128826       
Check         All|All|All               All                   All      0.9917368439740085        1.0001021091985862        -0.0009863929217424072     0.0026808239069378015      
Lambda        AB|SDSS|SDSS_r            5300.0579519146095    All      0.0001889962426344017     1.489425935164137e-05     -0.00221806377179178       -0.00015569274267694926    
Lambda        AB|SDSS|SDSS_i            6427.246622482591     All      -0.000466284334210521     -5.366148978333861e-05    -0.0011835059623812082     8.159039986350386e-05      
Lambda        AB|SDSS|SDSS_z            7641.460467513097     All      -2.432778608336983e-06    1.1646108580695548e-06    1.37833172073865e-05       1.7868742422861527e-06     
Lambda        AB|SDSS|SDSS_g            4056.0600490454494    All      -0.0008134242553738415    0.0004777656320501655     -0.00020149858980602248    0.00041159106860605275     
Lambda        AB|SDSS|SDSS_u            3084.5791109399906    All      -5.833892264736258e-05    2.1593651288288445e-05    4.46013660809281e-06       2.623570444656669e-05      
MWEBV         All|All|All               All                   All      -0.7319642406909983       -3.34866562772298         -0.17226553990781213       -0.8600331485339909        
Redshift      All|All|All               All                   All      6.242501157920725         -0.8817563919746974       2.4051962389933346         -2.2132722036330086        
