#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7588.781703309717     All      0.0992104081094973         0.004206387244032328      0.10189523471726573        -0.026398818797784877      
Zeropoint     AB|SDSS|SDSS_i            6382.938415858719     All      0.9598135168900822         0.02210580372903337       -0.04675633629592853       -0.3075287723887919        
Zeropoint     AB|SDSS|SDSS_u            3063.314613617431     All      -0.06530210900671113       0.029878248874837254      0.062258482455941774       0.033781684031925864       
Zeropoint     AB|SDSS|SDSS_r            5263.5203679932965    All      0.9065743984025045         0.3638973917055921        0.24622397852171324        -0.1657799093288071        
Zeropoint     AB|SDSS|SDSS_g            4028.0983482911497    All      -0.9066449554757599        0.5801638281155874        -0.35633291202862233       0.4684010340858065         
Check         All|All|All               All                   All      0.9936512589196131         1.0002516596690825        0.007288447370369877       0.002475217602348534       
Lambda        AB|SDSS|SDSS_z            7588.781703309717     All      -9.054383872508484e-06     -6.363564565942007e-07    -1.1909221397563843e-05    2.21057462034138e-06       
Lambda        AB|SDSS|SDSS_i            6382.938415858719     All      -0.00025865831548199246    -3.189668044823323e-05    -0.0004206383453318176     5.509256733657988e-05      
Lambda        AB|SDSS|SDSS_u            3063.314613617431     All      -6.228545361306195e-05     2.8092264782655628e-05    5.655844703338863e-05      3.1962939947652064e-05     
Lambda        AB|SDSS|SDSS_r            5263.5203679932965    All      0.00013875022703037718     3.593758032728809e-05     -0.0016802385627293108     -0.00010847079146482239    
Lambda        AB|SDSS|SDSS_g            4028.0983482911497    All      -0.000763536707327005      0.00039249892473618446    -0.000824077044172387      0.00033978406417315066     
MWEBV         All|All|All               All                   All      -0.7053880574579536        -3.283737077614113        0.1771941188426519         -0.831945741327269         
Redshift      All|All|All               All                   All      5.496902063520906          -0.6059428020497748       -0.5489148814408001        -2.0123929004325967        
