#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            7588.781703309717     All      0.20543538874718012        -0.0053206657788962275     0.18567124681319047       -0.060364525639305944      
Zeropoint     AB|SDSS|SDSS_i            6382.938415858719     All      1.075577061242458          -0.06612151557341406       -0.4571732493343639       -0.39229032963344623       
Zeropoint     AB|SDSS|SDSS_u            3063.314613617431     All      -0.0462634966022369        0.02693114692782217        0.06374158740309888       0.02668639772126502        
Zeropoint     AB|SDSS|SDSS_r            5263.5203679932965    All      0.7093559777547465         0.3753567986493067         0.017463721215338346      -0.10801519521138059       
Zeropoint     AB|SDSS|SDSS_g            4028.0983482911497    All      -0.9493120232853103        0.6689509787491943         0.19416858586647212       0.5357863512372024         
Check         All|All|All               All                   All      0.9947929078568374         0.9997967429740129         0.0038718919637359406     0.0018026984743346741      
Lambda        AB|SDSS|SDSS_z            7588.781703309717     All      -2.266374931949615e-05     -1.7637447441700703e-06    -6.458691131789412e-05    3.925601864747422e-06      
Lambda        AB|SDSS|SDSS_i            6382.938415858719     All      -0.0004758783201537568     -5.8326793773641926e-05    -0.0010047548262156016    9.117267595719134e-05      
Lambda        AB|SDSS|SDSS_u            3063.314613617431     All      -3.2207638302980924e-05    1.4299936715112513e-05     2.7213287896214645e-05    1.6363451289861515e-05     
Lambda        AB|SDSS|SDSS_r            5263.5203679932965    All      0.00022896958375191284     0.00010412387084366334     -0.0014221167418291903    -0.00010412889463806143    
Lambda        AB|SDSS|SDSS_g            4028.0983482911497    All      -0.0009300672301639891     0.0005154201630708819      -0.0005565285187987204    0.0004460074873483539      
MWEBV         All|All|All               All                   All      -0.621668338794612         -3.335070467953649         0.006342723752927881      -0.883561295115598         
Redshift      All|All|All               All                   All      5.580709852240284          -1.3593442775277964        -2.597630316107402        -2.376524261587881         
