#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                6896.852168250837     All      0.44641513070459476        0.014136164622158276       0.2740430813300008         -0.12857819672320078       
Zeropoint     AB|PS|PS_r                4954.6942938909       All      0.3031123175329446         0.4217208207814238         0.46371029039308276        0.059327952127795305       
Zeropoint     AB|PS|PS_i                6001.207861247126     All      1.1603728633451806         0.045073959699237776       -0.4071685638877903        -0.38145960811028345       
Zeropoint     AB|PS|PS_g                3901.5426407007603    All      -0.9127948922133662        0.517746752917958          -0.327033284524263         0.4513804837627037         
Check         All|All|All               All                   All      0.9971054193693537         0.9986776980207779         0.0035515233110302025      0.0006706310570147589      
Lambda        AB|PS|PS_z                6896.852168250837     All      -0.00033112419823806135    -1.2344033614923044e-05    -0.0002221822597468896     9.392221336736626e-05      
Lambda        AB|PS|PS_r                4954.6942938909       All      -3.299493032202691e-05     -3.342300540512117e-05     -0.0006542394624699906     -2.9335140534685014e-05    
Lambda        AB|PS|PS_i                6001.207861247126     All      -0.00016134864670888497    -1.5144583972733359e-05    -4.4536712975197045e-05    4.5636004253599224e-05     
Lambda        AB|PS|PS_g                3901.5426407007603    All      -0.001102931525225584      0.00041175731789996927     -0.0018502797431727517     0.0004108145010784647      
MWEBV         All|All|All               All                   All      -0.4945027194872442        -3.0389471454753902        0.10368673978892037        -0.8241821962987179        
Redshift      All|All|All               All                   All      3.6295632117016163         0.2009167109211063         -1.33857323735058          -1.176557340162065         
