#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                6896.852168250837     All      0.4578717725429473         -0.008723272715727148      0.10292964602945931       -0.1473920793982536       
Zeropoint     AB|PS|PS_r                4954.6942938909       All      0.2990035920328705         0.45582055402224597        0.499275235076696         0.07336080429800745       
Zeropoint     AB|PS|PS_i                6001.207861247126     All      1.175268647008723          0.0024505021315235354      -0.6419714020459766       -0.41067368956270306      
Zeropoint     AB|PS|PS_g                3901.5426407007603    All      -0.9324782902564428        0.5361691938459145         -0.044505738654937455     0.47640071593049865       
Check         All|All|All               All                   All      0.9996657213280982         0.9857169772839569         -0.0842722595947587       -0.008304248732450559     
Lambda        AB|PS|PS_z                6896.852168250837     All      -0.0003235613932992164     5.131655769279499e-06      -8.211821919905359e-05    0.00010340158079421029    
Lambda        AB|PS|PS_r                4954.6942938909       All      -9.980019726576637e-06     -0.00011239270356996244    -0.0008823039934758594    -7.273235535816891e-05    
Lambda        AB|PS|PS_i                6001.207861247126     All      -0.00024017935247991587    -6.46868830298721e-06      4.8385955451975436e-05    7.828649513806166e-05     
Lambda        AB|PS|PS_g                3901.5426407007603    All      -0.0009958504820222693     0.0003067129894628529      -0.0017821785957249903    0.00034475733025107443    
MWEBV         All|All|All               All                   All      -0.5012373233656775        -3.038556158433181         0.07267779297513988       -0.8232449437882441       
Redshift      All|All|All               All                   All      3.3444785051212085         0.4018865599519472         -3.3596502283536887       -1.1084247643171716       
