#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                7006.599244969773     All      0.8429118697661272        -0.08036508150164323       0.3912276507781698        -0.2832829847267626        
Zeropoint     AB|PS|PS_g                4555.173950410451     All      -0.9011957253159997       1.0115303611891946         0.2800446882384289        0.6355349214312245         
Zeropoint     AB|PS|PS_z                8052.292190507835     All      0.45228734384695357       -0.10719164536405756       0.0732530985315949        -0.17897176374989665       
Zeropoint     AB|PS|PS_r                5784.7616848615025    All      0.6029315809934248        0.17358994897334057        -0.748005686552089        -0.17323075279404576       
Check         All|All|All               All                   All      0.996935069290506         0.9975635832968344         -0.0034802490038954303    4.9420160519453304e-05     
Lambda        AB|PS|PS_i                7006.599244969773     All      -0.0006640072708145356    -1.9981519221619324e-05    -0.0008625762951542642    0.00017128755672859354     
Lambda        AB|PS|PS_g                4555.173950410451     All      -0.0002705289246984755    0.00018520608870135514     -0.0003654007939445493    0.00013214172789232162     
Lambda        AB|PS|PS_z                8052.292190507835     All      -6.725844947597445e-05    0.00013039604239578175     0.0005370221841638939     8.834740426782074e-05      
Lambda        AB|PS|PS_r                5784.7616848615025    All      -0.0001216185004442845    -9.924942390660537e-05     -0.0004783472519689503    -1.4060096736829663e-05    
MWEBV         All|All|All               All                   All      -0.6014739276219845       -3.811010957751826         0.045073392785377475      -1.043440382839819         
Redshift      All|All|All               All                   All      3.6686049101050173        1.7396447158447792         2.9981023069603707        -0.4945342600021718        
