#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                7006.599244969773     All      0.8852205760572037        -0.08066978464640329      0.49986133778338837       -0.29231575160497814      
Zeropoint     AB|PS|PS_g                4555.173950410451     All      -0.9185713051276108       1.0209489254567217        0.23712804774293555       0.6423474831026432        
Zeropoint     AB|PS|PS_z                8052.292190507835     All      0.4614268834743304        -0.11902637718321785      0.0710946891729614        -0.18590009388952852      
Zeropoint     AB|PS|PS_r                5784.7616848615025    All      0.5695295602216937        0.17740790550782037       -0.807140261495003        -0.163745886168954        
Check         All|All|All               All                   All      0.9976057146256171        0.9986606691349209        0.0009438132042822733     0.00038575143918256893    
Lambda        AB|PS|PS_i                7006.599244969773     All      -0.0006332509282820228    -1.98933032683917e-05     -0.0008700554696949578    0.00016096417774117975    
Lambda        AB|PS|PS_g                4555.173950410451     All      -0.0003216976141876827    0.00024778086127543873    -0.0003194907802807346    0.0001712404685878374     
Lambda        AB|PS|PS_z                8052.292190507835     All      -3.504917743311534e-05    0.00013521768445496886    0.0006163613449005287     8.296689450796633e-05     
Lambda        AB|PS|PS_r                5784.7616848615025    All      -7.039976728561799e-05    -9.865096193604776e-05    -0.0005152233005646082    -3.219439310351176e-05    
MWEBV         All|All|All               All                   All      -0.6003914478599519       -3.811452924696823        0.0495357060844566        -1.0437378127372317       
Redshift      All|All|All               All                   All      3.507913902819799         1.537515232645248         3.3929547428218645        -0.4904116841719727       
