#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3269.513812284497    All      -0.15074977563399555       0.08749472603941655       0.057372946814097554      0.08016436331822263        
Zeropoint     AB|SDSS|SDSS_i            6812.589611540858    All      0.7368077626313838         -0.014096407282337964     0.2988379236214227        -0.2312584281360218        
Zeropoint     AB|SDSS|SDSS_z            8099.601159830998    All      0.1885575163954947         -0.015042516550778373     0.07799739385198345       -0.06283856351418611       
Zeropoint     AB|SDSS|SDSS_r            5617.820797085149    All      0.8843396741005851         0.2996260332258416        -0.3241192331933471       -0.20492442209193232       
Zeropoint     AB|SDSS|SDSS_g            4299.239499734596    All      -0.6660034422503551        0.6422459994853469        -0.1078067422943583       0.4213289635313925         
Check         All|All|All               All                  All      0.9929517352431132         1.0002278349174887        0.0022822887997982766     0.0024719131074748546      
Lambda        AB|SDSS|SDSS_u            3269.513812284497    All      -0.00010128311302991576    5.7449978222809144e-05    3.504576213155123e-05     5.3268521389168546e-05     
Lambda        AB|SDSS|SDSS_i            6812.589611540858    All      -0.0005077844062547085     -1.611536574007802e-05    -0.0006226347186924398    0.0001323674540891747      
Lambda        AB|SDSS|SDSS_z            8099.601159830998    All      4.935782153709319e-06      5.115722027193659e-07     2.49051908691888e-05      -3.2970645013390447e-07    
Lambda        AB|SDSS|SDSS_r            5617.820797085149    All      -8.486874424938613e-05     -6.345471428753749e-05    -0.0006454493710250377    -2.1828186927876717e-05    
Lambda        AB|SDSS|SDSS_g            4299.239499734596    All      -0.0004146195163879323     0.0001842388599822814     -0.0010613093462045614    0.00014770651333556638     
MWEBV         All|All|All               All                  All      -0.8431421615796446        -3.555336514954277        0.10299895254570152       -0.8788545592429547        
Redshift      All|All|All               All                  All      4.976251816550441          1.0452646483377848        2.269775860300226         -1.1791621743816043        
