#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3269.513812284497    All      -0.15320624355714163       0.08680339682509697       0.053798097400603595       0.08057979795639131       
Zeropoint     AB|SDSS|SDSS_i            6812.589611540858    All      0.7136083971923015         0.008004112780035655      0.3763921907468326         -0.21304187435828986      
Zeropoint     AB|SDSS|SDSS_z            8099.601159830998    All      0.17707566322370338        -0.010050359917812557     0.07746696745776216        -0.0574961070357663       
Zeropoint     AB|SDSS|SDSS_r            5617.820797085149    All      0.882804809890064          0.2996752539186076        -0.31416401142307926       -0.2039641776991591       
Zeropoint     AB|SDSS|SDSS_g            4299.239499734596    All      -0.6270063192742118        0.6157442647776179        -0.19055501687130771       0.3963011552900523        
Check         All|All|All               All                  All      0.9932763074747158         1.0001766683835456        0.002938227310811392       0.0023787941532283363     
Lambda        AB|SDSS|SDSS_u            3269.513812284497    All      -0.00011084142889355734    5.555695950415694e-05     -1.0506635801813705e-05    5.373256654490743e-05     
Lambda        AB|SDSS|SDSS_i            6812.589611540858    All      -0.0005091351659818464     -1.193798957059105e-05    -0.0004620073229225996     0.00014133621275923752    
Lambda        AB|SDSS|SDSS_z            8099.601159830998    All      -5.9657204663473934e-06    3.9544638063200417e-07    1.4629588882383535e-05     2.7248926787836946e-06    
Lambda        AB|SDSS|SDSS_r            5617.820797085149    All      -0.0001592830320588466     -6.585220133108602e-05    -0.0005861615064021971     4.275799462755563e-06     
Lambda        AB|SDSS|SDSS_g            4299.239499734596    All      -0.0004183193019458096     0.00017865439145795838    -0.0011401716167171341     0.00014357334915749857    
MWEBV         All|All|All               All                  All      -0.8655797170354584        -3.5412076233594547       0.11671589308370756        -0.8663315403816054       
Redshift      All|All|All               All                  All      5.2652115595134195         1.2510998602767387        2.0161365321251568         -1.2175573271451252       
