#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                3585.1398244478983    All      -0.26370071070574286       0.14337060612952257        -0.09370043797023102       0.1284150999457146         
Zeropoint     AB|PS|PS_z                6337.539186111475     All      1.46066634582178           -0.7173630067240921        -0.9049359243377332        -0.7498389492443458        
Zeropoint     AB|PS|PS_i                5514.528810655906     All      0.49030340877855105        1.2330232516889694         1.4772786216159233         0.3078524475803908         
Zeropoint     AB|PS|PS_r                4552.884196545022     All      -0.7070839622038496        0.3509085628650155         -0.4749150125680238        0.3234296965299824         
Check         All|All|All               All                   All      0.9801850816907386         1.0099394139594153         0.003727246739935297       0.009858294811741941       
Lambda        AB|PS|PS_g                3585.1398244478983    All      -0.0005293714207075591     0.0002639504147073187      -0.000353538987602671      0.00024263420003690944     
Lambda        AB|PS|PS_z                6337.539186111475     All      0.00038575026471990406     -0.0001908791274273224     -0.00019310251517497075    -0.00019644444193035748    
Lambda        AB|PS|PS_i                5514.528810655906     All      -0.00018266614230315277    3.641322577175509e-05      -0.0010572192926048937     2.418251628274834e-05      
Lambda        AB|PS|PS_r                4552.884196545022     All      0.00021727674120804443     -0.00010741068379950732    0.00014860597115165712     -9.912977425399828e-05     
MWEBV         All|All|All               All                   All      -0.40699810481879606       -2.6749645599391414        0.03650773349758703        -0.737122115840774         
Redshift      All|All|All               All                   All      4.97416843124693           -3.112030048372638         -9.291540663860452         -3.048579658165619         
