#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3585.1398244478983    All      -0.2242091161049795        0.1328212741182            0.010020016074197002      0.11674369134376042       
Zeropoint     AB|PS|PS_z                6337.539186111475     All      1.3270978111288108         -0.5064178894606641        -0.3400745442627695       -0.6124123495613923       
Zeropoint     AB|PS|PS_i                5514.528810655906     All      0.7628025093507707         0.9287388975852906         0.7919213834760352        0.08939075497418139       
Zeropoint     AB|PS|PS_r                4552.884196545022     All      -0.8752187845182349        0.456751458769844          -0.407492103288809        0.4156820277320887        
Check         All|All|All               All                   All      0.9904724198563672         1.0118937410126705         0.054374751998653714      0.009404124488638088      
Lambda        AB|PS|PS_g                3585.1398244478983    All      -0.0009060141333241688     0.00033205684015848326     -0.001343320446963899     0.00034333422548814263    
Lambda        AB|PS|PS_z                6337.539186111475     All      -0.0002885338480723503     -0.00013041328090012164    -0.001782084627344481     -2.802118135959781e-05    
Lambda        AB|PS|PS_i                5514.528810655906     All      -0.00018930355332102153    -0.00024777479260258494    -0.0028848571001163278    -0.0001477839289894138    
Lambda        AB|PS|PS_r                4552.884196545022     All      7.768879651473684e-05      4.173820260661854e-05      0.0005792973235965609     1.4141087760459458e-05    
MWEBV         All|All|All               All                   All      -0.3956322036208273        -2.6717233393990014        0.1006507407161461        -0.7369061838110952       
Redshift      All|All|All               All                   All      5.3294653510782055         -1.660694453835987         2.1865401414926655        -2.179349773788175        
