#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                   ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3758.366763977797     All      -0.6333197604457236        0.48351685309633297      0.518985626112306         0.38695037274248945        
Zeropoint     AB|PS|PS_z                6643.756675837962     All      0.9204329114236492         0.07087254884563521      1.5737795512753006        -0.20649920653201884       
Zeropoint     AB|PS|PS_r                4772.870650078389     All      -0.25460497280507005       0.32010041205197126      -0.6306500398645276       0.15905743628521207        
Zeropoint     AB|PS|PS_i                5780.9800498252125    All      0.9644151786697365         0.1242017356304359       -1.4583515104175104       -0.33876469054283376       
Check         All|All|All               All                   All      0.9969233568425919         0.9986915496243753       0.0037636271055687676     0.0007439119528489524      
Lambda        AB|PS|PS_g                3758.366763977797     All      -0.0007791293620169956     0.0005542558642312003    0.00040420428276951713    0.0004523652159568794      
Lambda        AB|PS|PS_z                6643.756675837962     All      -0.0009141781607097927     -9.54697280245263e-05    -0.0018789428328430833    0.00018283168227549315     
Lambda        AB|PS|PS_r                4772.870650078389     All      -0.00010514132498511585    -4.3136114456891e-05     -0.001008266004642176     -2.4797144009040156e-05    
Lambda        AB|PS|PS_i                5780.9800498252125    All      -0.0002837393453227852     8.938055284949263e-06    0.0008608303842723658     0.00013374956457754027     
MWEBV         All|All|All               All                   All      -0.47327346386373526       -2.863401077699912       0.09410208081856442       -0.7743438530176006        
Redshift      All|All|All               All                   All      5.799006991481739          0.6033820444811155       4.0412240336819725        -1.5120447082691182        
