#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3758.366763977797     All      -0.5546174877284619        0.4575715238027911         0.5353538271006288        0.3535936435974069        
Zeropoint     AB|PS|PS_z                6643.756675837962     All      0.9737284176489471         0.05051452219806407        1.552062875058714         -0.2314597008364297       
Zeropoint     AB|PS|PS_r                4772.870650078389     All      -0.3111228633468783        0.3679983775400686         -0.6293660906608728       0.1931264125297744        
Zeropoint     AB|PS|PS_i                5780.9800498252125    All      0.8881858337098913         0.12328049472127844        -1.4508873309558081       -0.31390127144285296      
Check         All|All|All               All                   All      0.9961739002834982         0.9993649182622022         0.0071632805426620205     0.0013590838478986234     
Lambda        AB|PS|PS_g                3758.366763977797     All      -0.0008523083567764004     0.0005873545865971188      0.00013239396888151914    0.0004748537189284323     
Lambda        AB|PS|PS_z                6643.756675837962     All      -0.0009219502449876662     -6.200170216441117e-05     -0.0016527772218775537    0.00020635767538307174    
Lambda        AB|PS|PS_r                4772.870650078389     All      -0.00013994823672425073    -1.0522122919817823e-05    -0.0009079888004085931    1.6389733382591592e-06    
Lambda        AB|PS|PS_i                5780.9800498252125    All      -0.00026648880671128203    -1.5698893566232862e-05    0.000684783446944387      0.0001122492655949284     
MWEBV         All|All|All               All                   All      -0.4681939083339466        -2.8675819815733306        0.08776953718890859       -0.7776428816431608       
Redshift      All|All|All               All                   All      5.646381782734163          0.33029548462142344        3.4391507223990736        -1.578150700046927        
