#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3231.7883378509596    All      -0.07439216230590462      0.10648744070174132        0.4507443191590415         0.0790330862320634        
Zeropoint     AB|SDSS|SDSS_z            8006.143442867402     All      0.13353653907627666       0.009718237320832657       0.21313364789652348        -0.030820518564697162     
Zeropoint     AB|SDSS|SDSS_i            6733.982151847397     All      0.9329381348588758        0.02091032509774493        0.6141688913927053         -0.26966992561574277      
Zeropoint     AB|SDSS|SDSS_r            5552.999246536462     All      0.8363711726801998        0.28680523632527155        -0.29007521610759235       -0.19195643028067375      
Zeropoint     AB|SDSS|SDSS_g            4249.632475833521     All      -0.833329970342635        0.577517593203325          -0.9719764316581957        0.41618462293445835       
Check         All|All|All               All                   All      0.9951237139668129        1.0014388326489154         0.01599521068248222        0.002770834705408065      
Lambda        AB|SDSS|SDSS_u            3231.7883378509596    All      -5.642184170356207e-05    7.81376126901118e-05       0.000323919436059747       5.828547789376522e-05     
Lambda        AB|SDSS|SDSS_z            8006.143442867402     All      4.555465371856703e-08     5.346020892443244e-07      9.045559929536638e-06      5.62960633834618e-07      
Lambda        AB|SDSS|SDSS_i            6733.982151847397     All      -0.0005111938921629409    -5.8123321949696265e-06    -0.00033632249669601067    0.00014961087228684621    
Lambda        AB|SDSS|SDSS_r            5552.999246536462     All      4.827311265891806e-05     3.1386873839383964e-05     0.0003434933621108971      9.828127618781372e-06     
Lambda        AB|SDSS|SDSS_g            4249.632475833521     All      -0.0005535729661642302    0.00019295497176744045     -0.0016220135765859438     0.00017078569313986854    
MWEBV         All|All|All               All                   All      -0.7461518619443872       -3.459127508718929         0.6739164913092437         -0.8536316245814903       
Redshift      All|All|All               All                   All      2.629187912076397         -0.15577061908729206       -9.043209479671741         -1.310709521133133        
