#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3231.7883378509596    All      -0.05862675792363753       0.09121002061345251        0.4085567044622207        0.0670387775402001        
Zeropoint     AB|SDSS|SDSS_z            8006.143442867402     All      0.12293672662059038        0.014731511784127349       0.24526138646659423       -0.024301109084866324     
Zeropoint     AB|SDSS|SDSS_i            6733.982151847397     All      0.8866645010958472         0.04879174887264526        0.7439133552419652        -0.23972528421988687      
Zeropoint     AB|SDSS|SDSS_r            5552.999246536462     All      0.8596110826268077         0.3061236930786748         -0.20800577172962464      -0.1895713942264142       
Zeropoint     AB|SDSS|SDSS_g            4249.632475833521     All      -0.8126131305110603        0.538460975036692          -1.1793464440661205       0.3874604699383367        
Check         All|All|All               All                   All      0.9979724219085475         0.9993179493855919         0.010379230375034965      0.000901459947369454      
Lambda        AB|SDSS|SDSS_u            3231.7883378509596    All      -4.9388825081410145e-05    6.943110058679812e-05      0.0002814167908397291     5.126189772418605e-05     
Lambda        AB|SDSS|SDSS_z            8006.143442867402     All      1.5651010841583466e-06     2.4999004193420102e-06     3.067095493384875e-05     1.6731987495507956e-06    
Lambda        AB|SDSS|SDSS_i            6733.982151847397     All      -0.0005048962320451083     -2.5036738026038045e-05    -0.0004318178594040738    0.00013703597631293553    
Lambda        AB|SDSS|SDSS_r            5552.999246536462     All      1.5776903526698662e-05     2.162502768337866e-05      0.0003894231372950471     1.928309249710145e-05     
Lambda        AB|SDSS|SDSS_g            4249.632475833521     All      -0.0005223535574121054     9.735706317547768e-05      -0.0019069172055565784    0.00011676318026916348    
MWEBV         All|All|All               All                   All      -0.7546059055914536        -3.4088213100359255        0.9817531213590747        -0.8207541455434133       
Redshift      All|All|All               All                   All      2.3866601798974636         -0.14270210161200225       -11.603678600890005       -1.3417153908245592       
