#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_z                6261.733486090255     All      0.8957304277323523         -0.07850653927299334       -0.9934785443908245       -0.36167541615208104       
Zeropoint     AB|PS|PS_r                4498.425428954124     All      -0.3243683822122738        0.2468420766602364         -0.9749994688263763       0.1425522904375559         
Zeropoint     AB|PS|PS_i                5448.567448603098     All      0.8826221526463569         0.4573246064921932         1.4059610154014246        -0.075791819884094         
Zeropoint     AB|PS|PS_g                3542.2566128281874    All      -0.45987954861615377       0.3740082304990011         0.5705589272043232        0.2970861081896245         
Check         All|All|All               All                   All      0.9941046495502818         0.9996683743784374         0.008041929388546976      0.00217116259100536        
Lambda        AB|PS|PS_z                6261.733486090255     All      0.00036429040563822014     -0.0002590610686225258     -0.0022500149243789877    -0.00030345391495135743    
Lambda        AB|PS|PS_r                4498.425428954124     All      -0.00023405621104392703    -1.1168421983396934e-05    -0.0006784407679156049    4.232619018113753e-05      
Lambda        AB|PS|PS_i                5448.567448603098     All      -3.8494436070094016e-05    -7.858296275901163e-05     -0.0012257828732245163    -6.77592118308392e-05      
Lambda        AB|PS|PS_g                3542.2566128281874    All      -0.0006900092552927044     0.0003803449214199685      -2.017674782639538e-05    0.00034774917337474165     
MWEBV         All|All|All               All                   All      -0.4713502071714224        -2.5722895640402754        0.15912152901929044       -0.6772442043626092        
Redshift      All|All|All               All                   All      3.987286359212778          0.245277865957938          0.033575603194635484      -1.2173969497124348        
