#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                6261.733486090255     All      1.1280740793325055         0.02156322301818392        -0.022515852693647823      -0.3614317681216128        
Zeropoint     AB|PS|PS_r                4498.425428954124     All      -0.49844573111730855       0.3254512670896048         -1.1239616382370954        0.21821311197668772        
Zeropoint     AB|PS|PS_i                5448.567448603098     All      0.8180705915278383         0.3507491657501305         0.8825463586956033         -0.1128379721942704        
Zeropoint     AB|PS|PS_g                3542.2566128281874    All      -0.45225691482045505       0.30227661045643117        0.27586832926991256        0.25808712911624243        
Check         All|All|All               All                   All      0.9954420249225802         1.0000402663143504         0.011937197034772695       0.0020305007770469174      
Lambda        AB|PS|PS_z                6261.733486090255     All      0.0001438655657441376      -0.00022310211639165167    -0.0020932417295270143     -0.00021294521142703268    
Lambda        AB|PS|PS_r                4498.425428954124     All      -0.00010509399082269137    -5.194194693933599e-05     -0.0005309712331431597     -6.381438129399839e-06     
Lambda        AB|PS|PS_i                5448.567448603098     All      5.9419302905378766e-05     7.505743048859952e-06      -0.0006013248228320043     -4.374431940863303e-05     
Lambda        AB|PS|PS_g                3542.2566128281874    All      -0.0009444571805749006     0.0004615309850928318      -0.00029333181857537407    0.0004448865493559955      
MWEBV         All|All|All               All                   All      -0.42127023933116003       -2.6037426282405463        0.15522279933899516        -0.7039761776547048        
Redshift      All|All|All               All                   All      3.362041525954176          -0.28055211884243647       -3.5533419500060544        -1.345081919201121         
