#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6701.397593509785     All      0.9043047888074975        0.0389632453726918        0.76768972599911           -0.24761174298792432      
Zeropoint     AB|SDSS|SDSS_u            3216.150281014021     All      -0.09901021272862798      0.06803487893627391       0.1676175966197735         0.061892085472902564      
Zeropoint     AB|SDSS|SDSS_g            4229.069249766131     All      -0.7360595813361681       0.6126331924040329        -0.46857974884275677       0.4184030449995907        
Zeropoint     AB|SDSS|SDSS_z            7967.403119208861     All      0.07921660022566437       0.0005331490260829241     0.057814648828669046       -0.023049786420212964     
Zeropoint     AB|SDSS|SDSS_r            5526.1292573061155    All      0.843863844720097         0.2800229971260393        -0.5289712367842814        -0.20726707069495254      
Check         All|All|All               All                   All      0.9923154396884628        1.0001874628651208        -0.004429014179485602      0.00236653036940343       
Lambda        AB|SDSS|SDSS_i            6701.397593509785     All      -0.0004599864555198034    -9.90027554444488e-06     -0.0003854744480900309     0.00012940592201531737    
Lambda        AB|SDSS|SDSS_u            3216.150281014021     All      -7.144225766038504e-05    5.21232033639e-05         0.00014338534928740252     4.664796543213655e-05     
Lambda        AB|SDSS|SDSS_g            4229.069249766131     All      -0.000552456646608314     0.00023933043120280155    -0.0016286500472872019     0.0001852319287728889     
Lambda        AB|SDSS|SDSS_z            7967.403119208861     All      1.2021953009282732e-05    -3.199834980489798e-06    -1.1643382889781233e-05    -5.477827832466632e-06    
Lambda        AB|SDSS|SDSS_r            5526.1292573061155    All      0.00011595440836845698    3.1996875721665176e-05    1.0817407876713363e-05     -2.686499927286061e-05    
MWEBV         All|All|All               All                   All      -0.8244388296841989       -3.4673123137132222       0.2762366477347844         -0.8485436688238951       
Redshift      All|All|All               All                   All      1.9831582608262868        0.05866777603529272       -4.705117163541128         -0.836837633940107        
