#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_i            6701.397593509785     All      0.8834042201109841         0.019247411635348044       0.6753489068630101        -0.2513465824871022        
Zeropoint     AB|SDSS|SDSS_u            3216.150281014021     All      -0.11577333836579988       0.0789279198919246         0.18113482029944064       0.07150382040350094        
Zeropoint     AB|SDSS|SDSS_g            4229.069249766131     All      -0.7359721521244457        0.6246339209143414         -0.26770017004022373      0.4312479315124679         
Zeropoint     AB|SDSS|SDSS_z            7967.403119208861     All      0.12268441589355175        -0.004886653061930701      0.08672172656734817       -0.037684101764089824      
Zeropoint     AB|SDSS|SDSS_r            5526.1292573061155    All      0.8386167989127252         0.28302526247170334        -0.6671363118792585       -0.21074567139038447       
Check         All|All|All               All                   All      0.9929599444270155         1.0009478618513867         0.008368971810316705      0.002975396274392361       
Lambda        AB|SDSS|SDSS_i            6701.397593509785     All      -0.00047560547803425263    -1.2041225301959916e-05    -0.0005092830265178748    0.00012827116550467228     
Lambda        AB|SDSS|SDSS_u            3216.150281014021     All      -7.69378232963076e-05      5.331202723972443e-05      0.00012872438859089382    4.8171039665467264e-05     
Lambda        AB|SDSS|SDSS_g            4229.069249766131     All      -0.0005353303598660032     0.00023567241099560325     -0.001510619322627784     0.0001837289653620847      
Lambda        AB|SDSS|SDSS_z            7967.403119208861     All      1.1180283767327034e-05     -1.3215816527008276e-07    2.4092135839482555e-05    -2.6097131343934876e-06    
Lambda        AB|SDSS|SDSS_r            5526.1292573061155    All      0.00013398349562865697     2.821867555083336e-05      -8.660615492590361e-05    -3.8315916385235315e-05    
MWEBV         All|All|All               All                   All      -0.8096214109347915        -3.470162067190685         0.28725122082293086       -0.8538069182420692        
Redshift      All|All|All               All                   All      2.2547362051940683         -0.006088429340778134      -4.40715537140812         -0.9330960652826576        
