#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_v       5414.91250008814     All      2.5707133574440375        0.9524057383782036         2.493509471597366         -0.4158621568263826        
Zeropoint     VEGAHST|UVOT|UVOT_u       3477.060235987726    All      -0.34059806959533234      0.5121323990799009         1.1938289687073           0.3310374714619327         
Zeropoint     VEGAHST|UVOT|UVOT_b       4358.402891834419    All      -1.2242062970731444       -0.48167449482083846       -3.6803086121023343       0.07763176625221052        
Check         All|All|All               All                  All      1.0059089907755605        0.9828636426372661         0.007029828202331778      -0.007192919112239404      
Lambda        VEGAHST|UVOT|UVOT_v       5414.91250008814     All      0.003867550554872665      0.0012802255917391367      0.003515316412273888      -0.000685904434740067      
Lambda        VEGAHST|UVOT|UVOT_u       3477.060235987726    All      -0.0002642934092942214    -0.00023535019241296805    -0.0008616309635713058    -2.9022874634532752e-05    
Lambda        VEGAHST|UVOT|UVOT_b       4358.402891834419    All      -0.001289992732031371     -0.0005990201247848701     -0.0037136241845886968    5.9350519204511246e-05     
MWEBV         All|All|All               All                  All      -1.2095600017487032       -3.572859779711246         1.3110558490723179        -0.7112980868533014        
Redshift      All|All|All               All                  All      -5.642087133827789        -0.9753197233955735        -1.4287405330074776       1.4563615496450133         
