#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_v       5414.91250008814     All      2.926932880315359          0.8168942185005967        2.7748344491247723        -0.5634808932523352       
Zeropoint     VEGAHST|UVOT|UVOT_u       3477.060235987726    All      -0.16345216936608198       0.5440700482645777        1.7398486584651855        0.3081047178633193        
Zeropoint     VEGAHST|UVOT|UVOT_b       4358.402891834419    All      -1.7499991078070525        -0.3529721655047613       -4.447244200233878        0.2565975527264658        
Check         All|All|All               All                  All      1.0134816031422251         1.0079921012604132        0.06743890735608016       0.0012213773374498693     
Lambda        VEGAHST|UVOT|UVOT_v       5414.91250008814     All      0.002764902672613016       0.00019683846762467964    0.00036125415365133464    -0.0008203818846703921    
Lambda        VEGAHST|UVOT|UVOT_u       3477.060235987726    All      -0.00016280628499295126    0.000641830735225639      0.0021649188242195173     0.0003587071332692717     
Lambda        VEGAHST|UVOT|UVOT_b       4358.402891834419    All      -0.0013002519487193558     -0.0003117949252873104    -0.0033442509137493774    0.0001727344131102217     
MWEBV         All|All|All               All                  All      -1.0677016641836845        -3.702006720972184        1.2663627929268608        -0.8015678678037523       
Redshift      All|All|All               All                  All      -6.401766124442453         -1.9285731522695082       -9.301579499452282        1.0419793422631864        
