#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                6560.404221040585    All      1.0083380290587614         -0.13500193444357933      0.01848055264018116        -0.3715987386940182       
Zeropoint     AB|PS|PS_g                4265.090861775948    All      -0.8955724081858965        0.7303629252049859        -0.009526462786319951      0.5291955074883247        
Zeropoint     AB|PS|PS_z                7539.505233381966    All      0.4366612945722768         -0.0721221798308136       0.1520486836339287         -0.15894228167597466      
Zeropoint     AB|PS|PS_r                5416.375854852103    All      0.4474305580334155         0.4754502798956395        -0.15956477608098743       0.002006302130009338      
Check         All|All|All               All                  All      0.9968574734785571         0.9986890908262325        0.001437997406802477       0.0006607892483411343     
Lambda        AB|PS|PS_i                6560.404221040585    All      -0.00031605279909419147    5.650680983070156e-06     -0.00048815348810043644    8.300535902524491e-05     
Lambda        AB|PS|PS_g                4265.090861775948    All      -0.0005670486516159091     0.000325050534639078      -0.0006442937796910541     0.00026183418190140476    
Lambda        AB|PS|PS_z                7539.505233381966    All      -6.173281986134553e-06     -1.623407534632641e-05    -0.00010888209348945091    -8.136039142751347e-06    
Lambda        AB|PS|PS_r                5416.375854852103    All      9.311096604521326e-05      9.963086350473486e-05     -0.0007573535946207952     -3.167346742785907e-05    
MWEBV         All|All|All               All                  All      -0.5594002802573126        -3.4733849591315646       0.024027634614823858       -0.9481084341798116       
Redshift      All|All|All               All                  All      4.149174392275956          0.3450147662572789        1.1050073425501163         -1.1898285407457039       
