#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_i                6560.404221040585    All      0.9444689762369395         -0.09523599403920002       0.13967296495849268        -0.3324331511650899       
Zeropoint     AB|PS|PS_g                4265.090861775948    All      -0.9263093287550873        0.7582809613264629         -0.04460342506966697       0.5467360328491876        
Zeropoint     AB|PS|PS_z                7539.505233381966    All      0.44335344112924435        -0.052350253401023394      0.22027663283559207        -0.1516370670461862       
Zeropoint     AB|PS|PS_r                5416.375854852103    All      0.536373019067886          0.387622286628897          -0.3134250027503338        -0.06243972567289407      
Check         All|All|All               All                  All      0.9978861076789827         0.9983170005151365         0.0019211699740839805      0.00022608896501739167    
Lambda        AB|PS|PS_i                6560.404221040585    All      -3.9120057562937664e-05    3.960800784034593e-07      -5.7947302203864966e-05    1.028578411707219e-05     
Lambda        AB|PS|PS_g                4265.090861775948    All      -0.0006243112062684307     0.00039428883401493417     -0.0006068289120187707     0.0003047115567872291     
Lambda        AB|PS|PS_z                7539.505233381966    All      8.554303310359998e-05      -1.9115765131239558e-05    -6.4294468015225444e-06    -3.43777304386476e-05     
Lambda        AB|PS|PS_r                5416.375854852103    All      8.669040550060044e-05      8.132885900230392e-05      -0.0011180200058404396     -5.163853006463738e-05    
MWEBV         All|All|All               All                  All      -0.549260328511811         -3.475220060691697         0.03893958620859728        -0.9513436510974946       
Redshift      All|All|All               All                  All      3.458665078775192          0.3873306984196745         0.23016751172195704        -0.990163332654596        
