#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_z                7155.235678876949     All      0.4899751728789117         -0.04300292574832554       0.32385857800677287       -0.15915618027371642      
Zeropoint     AB|PS|PS_g                4047.7099442428644    All      -0.7962861219252133        0.5685230316270662         -0.22023074958216712      0.4347353553288347        
Zeropoint     AB|PS|PS_r                5140.316846687965     All      0.1594553380875372         0.513310198070549          0.507396204970537         0.1379049316169301        
Zeropoint     AB|PS|PS_i                6226.036974204511     All      1.1416775989197299         -0.040562513804864864      -0.6177488775239292       -0.4126617944447469       
Check         All|All|All               All                   All      0.9948219879609653         0.9982677901444248         -0.006724844128786489     0.0008223122273015027     
Lambda        AB|PS|PS_z                7155.235678876949     All      -0.00017644462525027088    -3.0239766130473352e-05    -0.0009052219657913909    7.227833813152106e-06     
Lambda        AB|PS|PS_g                4047.7099442428644    All      -0.0005503420402285426     0.00038411548870010494     -0.0002241022106702793    0.00029438290751362196    
Lambda        AB|PS|PS_r                5140.316846687965     All      -4.504166072981096e-05     -3.049996218182252e-06     -0.000303574376124875     1.3093647639115125e-07    
Lambda        AB|PS|PS_i                6226.036974204511     All      -0.0003609574813087598     -5.530692052022131e-05     -0.0014717386823018652    3.388350531374037e-05     
MWEBV         All|All|All               All                   All      -0.5280505630094434        -3.214897418251539         0.03557722145341686       -0.8736067673951067       
Redshift      All|All|All               All                   All      6.822212150006728          -0.2574729215350402        1.9861817503193795        -2.217452173207822        
