#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_z                7155.235678876949     All      0.54290819915844           -0.07513015712810045       0.3923083199037114         -0.18380850699014073       
Zeropoint     AB|PS|PS_g                4047.7099442428644    All      -0.786878920900759         0.6066224153103761         -0.18380050915425272       0.445707057477851          
Zeropoint     AB|PS|PS_r                5140.316846687965     All      -0.09037747489224679       0.5301657550289107         0.1289416408657873         0.20788541847549524        
Zeropoint     AB|PS|PS_i                6226.036974204511     All      1.3296492370951811         -0.06328950446636838       -0.345213401507527         -0.4691312630514921        
Check         All|All|All               All                   All      0.9953010404606153         0.998368508744818          -0.007763949892281019      0.0006527059117134026      
Lambda        AB|PS|PS_z                7155.235678876949     All      -0.00014625754823461987    -2.8063503207749482e-05    -0.0008120061247545057     2.263584995277886e-06      
Lambda        AB|PS|PS_g                4047.7099442428644    All      -0.0007137617037356623     0.0005251554451990308      -0.00022815374372133198    0.0003933746208615214      
Lambda        AB|PS|PS_r                5140.316846687965     All      5.0437127152711474e-05     4.010518878104492e-05      -0.0002841203226906639     -1.6044437322569224e-05    
Lambda        AB|PS|PS_i                6226.036974204511     All      -0.00033812078938253115    -5.433025488481462e-05     -0.0022312532731854546     -7.1306722894758165e-06    
MWEBV         All|All|All               All                   All      -0.5126707590445498        -3.2222217230117423        0.03994239439474301        -0.8808074449300041        
Redshift      All|All|All               All                   All      6.597039086848669          -1.1880121758405693        0.23997746407250498        -2.5251382247919563        
