#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3514.191275090379    All      -0.29000524247104353       0.09765093861062724       -0.07801196417265656      0.1227910560228068        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5252.98658431798     All      0.5689708670374628         0.25207509221694124       -0.10679319880169615      -0.10798906939946382      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6080.716575414858    All      1.081755624219692          -0.041261767250411197     -0.059792546383319614     -0.36847197730443587      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4697.517611687513    All      -0.29624642138602175       0.4869767786069623        0.15534320936825935       0.262053817484181         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7434.60710694082     All      0.38600551698673147        -0.06324657582350568      0.1595354214727872        -0.13921685344249685      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4300.156011397537    All      -0.45686309188060475       0.26575304905929187       -0.07086612977431986      0.23221742057355532       
Check         All|All|All                              All                  All      0.9936172525062162         0.9979475154199058        -0.0005852082909456324    0.0013843939341465772     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3514.191275090379    All      -0.0005014638215180915     0.00014068276236434244    -7.785444764544806e-05    0.00020569398193974188    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5252.98658431798     All      6.056802240092177e-05      8.653611830310517e-05     -0.0014847464029548848    -5.77987496099791e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6080.716575414858    All      -0.00019253170542258126    -4.297566925235953e-06    -0.0006341981568318324    3.3012700655174025e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4697.517611687513    All      -0.0001743101721363967     -3.670043526954618e-05    -0.0007355302883872512    1.2000679921106544e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7434.60710694082     All      -7.734432363015956e-05     -5.425713194841474e-06    -0.0004359749337882255    3.97069853626423e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4300.156011397537    All      -0.0002504742740824493     8.953567633060318e-05     -0.0003076316246037277    9.702424033952501e-05     
MWEBV         All|All|All                              All                  All      -1.0420470246669788        -3.9310806718933833       -0.0424131815463646       -0.9429460107811911       
Redshift      All|All|All                              All                  All      6.555702071572782          -0.10071718378732442      11.14449588425213         -1.6708870746637017       
