#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3514.191275090379    All      -0.42689399693761065       0.13199708292628287        -0.20965050792325357       0.17269347240339017        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5252.98658431798     All      0.5502893239670982         0.24366997595315354        -0.2574987912638882        -0.11136699752999912       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6080.716575414858    All      1.1115388940073918         -0.0540157031020172        -0.019018237649692793      -0.3805081744845007        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4697.517611687513    All      -0.23385250020545245       0.46288920948445167        0.28028351297226806        0.2394594628557345         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7434.60710694082     All      0.38694365678724524        -0.07015134715970817       0.11125682086161603        -0.14392599983352183       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4300.156011397537    All      -0.46012306676949966       0.30033562895956933        0.0441727465710251         0.24967764234830603        
Check         All|All|All                              All                  All      0.9279023108491725         1.014724847061732          -0.050454456431925365      0.02602940575940904        
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3514.191275090379    All      -0.0006953564644171594     0.0001543165180231702      -0.00015701307357349068    0.0002697596714530167      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5252.98658431798     All      0.0001887007593597024      0.0001239289470492155      -0.0012005100078605457     -7.467155810663898e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6080.716575414858    All      0.00016258180448241265     1.380833006161952e-06      -3.1598838787063317e-05    -5.3918570811100455e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4697.517611687513    All      -0.0001030838734572515     7.942735499559519e-05      -0.00033383888661887384    4.455221530490586e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7434.60710694082     All      -4.198219624809054e-05     -4.9421655884059736e-06    -0.00028405616918731366    -6.10965641360719e-07      
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4300.156011397537    All      -0.00034794952032288554    0.00016162065111809495     -0.00027123760565220424    0.00015387968060802233     
MWEBV         All|All|All                              All                  All      -1.0628407307141354        -3.935341080844701         -0.11198767396014553       -0.9406653620400995        
Redshift      All|All|All                              All                  All      4.605303604420461          -1.0261667942124575        7.466650349415627          -1.5011528666980383        
