#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5469.611561350716     All      0.911250154650545         0.3144715301946377         -0.3341242355712648       -0.2093008614752999       
Zeropoint     AB|SDSS|SDSS_z            7885.917644280782     All      0.15654590580525776       0.0002719150396401915      0.16156692818172225       -0.043693590099257856     
Zeropoint     AB|SDSS|SDSS_i            6632.860008876656     All      0.8468990459612147        0.01895883666467313        0.5127538696802603        -0.2468055143812202       
Zeropoint     AB|SDSS|SDSS_u            3183.2575643825917    All      -0.1085872747996744       0.08207105695650085        0.2706143136260608        0.07417996505633406       
Zeropoint     AB|SDSS|SDSS_g            4185.817049373496     All      -0.8119770099299244       0.5850790401932926         -0.6002983594464162       0.42827855859252706       
Check         All|All|All               All                   All      0.9941308216874186        1.0008523790487445         0.010512516470362332      0.0026585576930832078     
Lambda        AB|SDSS|SDSS_r            5469.611561350716     All      0.00018804607547821172    3.5971711712729e-05        7.884316943153361e-05     -4.601721483822886e-05    
Lambda        AB|SDSS|SDSS_z            7885.917644280782     All      8.565494477063308e-06     3.07109920595623e-06       4.178451343196138e-05     7.494562510476624e-08     
Lambda        AB|SDSS|SDSS_i            6632.860008876656     All      -0.0003993608749252338    -2.4992176062857006e-05    -0.0005103843574068597    9.916809182333452e-05     
Lambda        AB|SDSS|SDSS_u            3183.2575643825917    All      -3.953357806215075e-05    3.9724985199819425e-05     0.0001793811409529201     3.3822078036651545e-05    
Lambda        AB|SDSS|SDSS_g            4185.817049373496     All      -0.0006045202563926592    0.0001478177677916586      -0.0022062660300610636    0.00014660572575438179    
MWEBV         All|All|All               All                   All      -0.8105570453376454       -3.406230762086082         0.3943429379041463        -0.8278986105066999       
Redshift      All|All|All               All                   All      2.9168159612554043        0.09145443814979615        0.3952234896718809        -0.9026761905604432       
