#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                4588.7647972397635    All      -0.9849232449884164        1.0351240094084169         0.09979680055724194       0.6624493211964742        
Zeropoint     AB|PS|PS_r                5827.419779989297     All      0.7893391029663019         0.2519838861997137         -0.054470019082514254     -0.17746501934231035      
Zeropoint     AB|PS|PS_z                8111.6715504490385    All      0.33209214149082944        -0.08839369195889901       0.006010923987845307      -0.13669782959719665      
Zeropoint     AB|PS|PS_i                7058.267436919051     All      0.8590722067554751         -0.1998695126306238        -0.059767973990659806     -0.3475993263266513       
Check         All|All|All               All                   All      0.9955802062241901         0.9988446910186077         -0.008430268528086815     0.00068714593031588       
Lambda        AB|PS|PS_g                4588.7647972397635    All      -0.00024422487716270296    0.00016329665778788664     -0.0003621031277708741    0.00011658417148077518    
Lambda        AB|PS|PS_r                5827.419779989297     All      -0.00017570357710351933    -8.176171379094857e-05     -0.0005986831523502455    3.883476039279196e-06     
Lambda        AB|PS|PS_z                8111.6715504490385    All      5.688876799408757e-05      1.0597323566867798e-05     0.0002491634117177361     -3.959627694426686e-06    
Lambda        AB|PS|PS_i                7058.267436919051     All      -0.0006063078394736819     -1.6716051749655654e-05    -0.001173948820341268     0.00013966149815546338    
MWEBV         All|All|All               All                   All      -0.624473674716731         -3.846577335595036         0.022724893429371118      -1.048531058787779        
Redshift      All|All|All               All                   All      4.470130057307225          0.747163574647125          3.65638111924908          -1.0495251691605785       
