#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            8398.220619415013     All      0.13207172270801149        -0.019402003122515055      0.042601978171208366      -0.0474388452185899        
Zeropoint     AB|SDSS|SDSS_u            3390.0556054494386    All      -0.31010274731201004       0.16909360970744913        0.07141550891625048       0.15927696473647737        
Zeropoint     AB|SDSS|SDSS_i            7063.758994825461     All      0.6468437658461033         -0.07701227607395111       0.9283070682629457        -0.1943576461133651        
Zeropoint     AB|SDSS|SDSS_r            5824.940947492705     All      0.8369883341359803         0.2778376072415156         -2.053504898308045        -0.2737722794666667        
Zeropoint     AB|SDSS|SDSS_g            4457.745647222454     All      -0.3146144580353294        0.6504928204920546         0.9962453686289008        0.35882504691516076        
Check         All|All|All               All                   All      0.9911866173427554         1.0010097582445532         -0.014934974328739692     0.0025332408530164274      
Lambda        AB|SDSS|SDSS_z            8398.220619415013     All      -2.1305415941867002e-05    1.8415084966745376e-06     7.864025577254127e-06     7.89065014417764e-06       
Lambda        AB|SDSS|SDSS_u            3390.0556054494386    All      -0.0002849107480557799     6.438335338204223e-05      -0.0004664375813808866    9.296161328620217e-05      
Lambda        AB|SDSS|SDSS_i            7063.758994825461     All      -0.000517603533029806      5.683204461306627e-05      -0.000941862132285579     0.00014508158485985274     
Lambda        AB|SDSS|SDSS_r            5824.940947492705     All      -0.0001608885635582349     -3.5378003952525074e-05    0.00034919141382602087    5.6465727459242566e-05     
Lambda        AB|SDSS|SDSS_g            4457.745647222454     All      -0.00013709283314922594    -4.743619883834512e-05     -0.001073614395025311     -1.8706364106705805e-05    
MWEBV         All|All|All               All                   All      -1.008896776409089         -3.720234112449994         -0.06879380858770823      -0.8862417224160979        
Redshift      All|All|All               All                   All      7.3566698838916835         -0.18265985945191687       5.432350345277648         -2.2133868879610956        
