#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_z            8398.220619415013     All      0.13189870230787332        -0.013922130835108959      0.05893052471012346        -0.044868844057881226      
Zeropoint     AB|SDSS|SDSS_u            3390.0556054494386    All      -0.29064650337375153       0.16571993062690638        0.02992538074441057        0.14998899386405282        
Zeropoint     AB|SDSS|SDSS_i            7063.758994825461     All      0.6074016581664204         -0.015522807772860858      0.5852421774412732         -0.17679032170352668       
Zeropoint     AB|SDSS|SDSS_r            5824.940947492705     All      0.9462459801116172         0.2741079745571362         -0.7263353037302352        -0.25135046976075676       
Zeropoint     AB|SDSS|SDSS_g            4457.745647222454     All      -0.40207125331163995       0.5896652590493545         0.05132261554689835        0.32533150185371973        
Check         All|All|All               All                   All      0.9928285839005195         1.0000482256254273         -0.0009146052875297073     0.002310860195607889       
Lambda        AB|SDSS|SDSS_z            8398.220619415013     All      -1.6126727024220914e-05    -1.175719792290459e-06     -1.646983699506587e-05     4.135061747103072e-06      
Lambda        AB|SDSS|SDSS_u            3390.0556054494386    All      -0.00027470793387442024    0.00010236572487499966     -0.00036862925794109777    0.00010637506528061549     
Lambda        AB|SDSS|SDSS_i            7063.758994825461     All      -0.0004668438324498652     2.898695389611496e-05      -0.00045138884486184156    0.00014136498846902538     
Lambda        AB|SDSS|SDSS_r            5824.940947492705     All      -0.00017032481580846737    -3.774579066629124e-05     9.323337660696479e-05      4.734592760173626e-05      
Lambda        AB|SDSS|SDSS_g            4457.745647222454     All      -0.00010207485046204841    -4.4338169630455754e-05    -0.0008836034435451751     -2.0624427014363635e-05    
MWEBV         All|All|All               All                   All      -0.9829041234772666        -3.6852412500584464        0.18196777747857157        -0.8721197202171387        
Redshift      All|All|All               All                   All      6.931751789361782          -0.13516904842427735       -1.3631563649149614        -2.3627600194721206        
