#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4694.979928030784     All      -0.19863399893945688      0.4816640219678092         0.2925271410331628        0.23464958932534508        
Zeropoint     AB|PS|PS_z                6535.334084376968     All      1.1539058045081498        0.054277906197697234       1.6546079089479393        -0.28434743152592346       
Zeropoint     AB|PS|PS_i                5686.637516109934     All      0.5854450613829795        0.09456476072262632        -2.1610109824966397       -0.2563318583916589        
Zeropoint     AB|PS|PS_g                3697.0322082296448    All      -0.5462015952083052       0.3689687780667583         0.22146147355139745       0.30798390721550656        
Check         All|All|All               All                   All      0.9945152717433673        0.9994754669548911         0.007585541035859955      0.0019542066232692834      
Lambda        AB|PS|PS_r                4694.979928030784     All      -8.379706748371385e-05    -6.249941911739645e-05     -0.0009073848880165623    -3.3555075339397935e-05    
Lambda        AB|PS|PS_z                6535.334084376968     All      -0.0005197383348234843    -4.2562647466046194e-05    -0.001102073539107157     0.00010625133957646827     
Lambda        AB|PS|PS_i                5686.637516109934     All      -0.0001239858513415604    -1.3040228861680162e-05    0.0007221348131018524     6.836419930776353e-05      
Lambda        AB|PS|PS_g                3697.0322082296448    All      -0.0008577750771093407    0.0005350925752533527      -6.312755382772184e-05    0.00045088572556622005     
MWEBV         All|All|All               All                   All      -0.4659295571182005       -2.8003766536736308        0.035036163886330914      -0.758842717297395         
Redshift      All|All|All               All                   All      3.609245101163535         0.17223713083431846        -4.808988331514788        -1.3341496324907955        
