#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4694.979928030784     All      -0.18686203433443993      0.5036403226363007         0.6655458256384972        0.2546195879749885        
Zeropoint     AB|PS|PS_z                6535.334084376968     All      1.164026648572694         0.056607489381832465       1.7105776298693058        -0.28438762993445166      
Zeropoint     AB|PS|PS_i                5686.637516109934     All      0.47566081508491725       0.07316290238765788        -2.8719246306480373       -0.25926761794659303      
Zeropoint     AB|PS|PS_g                3697.0322082296448    All      -0.4586327314875587       0.3662206297455839         0.5035793814634593        0.2911543115614451        
Check         All|All|All               All                   All      0.9941926978356126        0.9996313441513749         0.00777820632322479       0.0021186516553889367     
Lambda        AB|PS|PS_r                4694.979928030784     All      -0.0001028376296300096    -8.613621932035533e-06     -0.0006608053841904336    1.203149857942889e-06     
Lambda        AB|PS|PS_z                6535.334084376968     All      -0.0004951985871538715    -4.525854594195054e-05     -0.0010858285926588906    9.810473095037555e-05     
Lambda        AB|PS|PS_i                5686.637516109934     All      -9.399744550899602e-05    -1.2289052529720937e-05    0.0006035457367456486     5.3548585965286305e-05    
Lambda        AB|PS|PS_g                3697.0322082296448    All      -0.0009089850375772815    0.0006026834970065155      -0.0001996306043545689    0.000483491577129388      
MWEBV         All|All|All               All                   All      -0.4591597859060781       -2.80008977038122          0.06563290153186463       -0.7595890152981357       
Redshift      All|All|All               All                   All      3.3212708537422415        -0.15189143056293375       -5.128420837002451        -1.3601810876138474       
