#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_i                5734.507739398891     All      1.2378709008027013         0.11977701416210351        -0.5865337010652727       -0.39037426830180466       
Zeropoint     AB|PS|PS_r                4734.502358791547     All      -0.1704183924345845        0.409026892790898          -0.4936050247260404       0.16671706737394626        
Zeropoint     AB|PS|PS_z                6590.34865159719      All      0.564624692850826          0.029477547463052645       0.4541849869697412        -0.15404684109867062       
Zeropoint     AB|PS|PS_g                3728.1538960131643    All      -0.6359311171257924        0.44096990680468906        0.6315117165895279        0.3789635599684843         
Check         All|All|All               All                   All      0.9961460840931505         0.9992513612207432         0.005557977767955968      0.0012595179419552793      
Lambda        AB|PS|PS_i                5734.507739398891     All      -0.0004561643699184359     -1.3853225200998921e-06    0.0006375249470781506     0.00017658630786581195     
Lambda        AB|PS|PS_r                4734.502358791547     All      -7.830775378819348e-05     -3.622424343570427e-05     -0.0007179359911470842    -1.8330202095980886e-05    
Lambda        AB|PS|PS_z                6590.34865159719      All      -0.00047328885473478223    -5.2405195287095764e-05    -0.0006128767258398732    0.0001097457811099752      
Lambda        AB|PS|PS_g                3728.1538960131643    All      -0.0010167423555558883     0.0005359595232221597      -0.0001813821164221652    0.0004976718334945314      
MWEBV         All|All|All               All                   All      -0.4843263174724943        -2.8302703248348493        0.05627827859435719       -0.7616397013664261        
Redshift      All|All|All               All                   All      5.559066085369746          0.41966758502685053        -0.9205367552365562       -1.7151505002639427        
