#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_i                5734.507739398891     All      1.3102920697174316         0.11020002436996634       -0.49878382834497964      -0.4131678924530058       
Zeropoint     AB|PS|PS_r                4734.502358791547     All      -0.26412740349063313       0.4345525957772267        -0.5624110191913794       0.20248524092463874       
Zeropoint     AB|PS|PS_z                6590.34865159719      All      0.614052327248373          0.043341077929959226      0.7431811413331306        -0.1527346687152361       
Zeropoint     AB|PS|PS_g                3728.1538960131643    All      -0.6640217656841503        0.4113447517083202        0.3242939150584094        0.36475400122328094       
Check         All|All|All               All                   All      0.9961952277910214         0.9994384497854725        0.006280208855180935      0.0013366809796777623     
Lambda        AB|PS|PS_i                5734.507739398891     All      -0.00032416282871814155    -3.402492845817915e-05    0.00019831257225889863    0.00010335723865128062    
Lambda        AB|PS|PS_r                4734.502358791547     All      -0.00011720129044149913    6.7340492726571775e-06    -0.0007129338168911508    8.554855635201517e-06     
Lambda        AB|PS|PS_z                6590.34865159719      All      -0.0004285484270925004     -5.088458606715386e-05    -0.0006972291765671916    9.190340190086036e-05     
Lambda        AB|PS|PS_g                3728.1538960131643    All      -0.0010719388360211728     0.000588813326477445      -5.055254056484241e-05    0.0005387056887430731     
MWEBV         All|All|All               All                   All      -0.4714984034924634        -2.835736144184864        0.06553075390460737       -0.7671856766799574       
Redshift      All|All|All               All                   All      5.803054826998748          0.3576463017450848        1.4182906293501212        -1.7104569084797059       
