#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5313.571206317587    All      0.05003524972468605        0.346872135226306         -2.07543718862111         0.004072309661409725       
Zeropoint     AB|PS|PS_z                7396.402870028133    All      0.5219154547781686         -0.0025627348748002987    1.1865507483603488        -0.11788949092104271       
Zeropoint     AB|PS|PS_i                6435.885526573647    All      1.1097199607046448         -0.06663187190962816      -0.07767516904931826      -0.38664277875375563       
Zeropoint     AB|PS|PS_g                4184.137992410382    All      -0.6848372187116022        0.7218470767657692        0.9834894325641108        0.5020919699474445         
Check         All|All|All               All                  All      0.9968334464958976         0.9995246052076467        0.016927823254031527      0.001632009934055878       
Lambda        AB|PS|PS_r                5313.571206317587    All      2.215701512425175e-05      7.816123936609525e-05     -0.0006374529199396285    -1.0204177781721701e-05    
Lambda        AB|PS|PS_z                7396.402870028133    All      -0.00013604044996742192    1.0496385074317523e-05    -0.0001691297859467408    4.0184382529979135e-05     
Lambda        AB|PS|PS_i                6435.885526573647    All      -0.0004481672778752907     -9.880329918442228e-06    -0.0006705675348332434    0.00011284012888752253     
Lambda        AB|PS|PS_g                4184.137992410382    All      -0.0005347500021616535     0.00029974673818413105    -0.0015221031138603145    0.00020389857125306887     
MWEBV         All|All|All               All                  All      -0.5359531929353829        -3.369144573167304        0.16281341107042824       -0.9155980270082322        
Redshift      All|All|All               All                  All      5.997098552718181          0.039475885738582406      2.6525895863543703        -1.8222208122635342        
