#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                5313.571206317587    All      0.05860484841838107        0.37747571404782576       -1.6815326801458408        0.02882765096073762        
Zeropoint     AB|PS|PS_z                7396.402870028133    All      0.5394860865881772         -0.019439648147567823     1.0442559570537082         -0.13546015264475147       
Zeropoint     AB|PS|PS_i                6435.885526573647    All      1.1354749280876515         -0.0797557199744503       -0.030385583963919705      -0.39719657103099637       
Zeropoint     AB|PS|PS_g                4184.137992410382    All      -0.736533656364553         0.7213447342802937        0.6817661347412404         0.5053030459623442         
Check         All|All|All               All                  All      0.9970322067296566         0.9996250802061013        0.014103827685188142       0.001473973247334004       
Lambda        AB|PS|PS_r                5313.571206317587    All      3.1763404881256276e-05     6.645877913883434e-05     -0.000836559414873751      -2.6030379667793433e-05    
Lambda        AB|PS|PS_z                7396.402870028133    All      -0.00012667082380218142    8.89612881063308e-06      -0.00019409105203159601    3.5497224262047506e-05     
Lambda        AB|PS|PS_i                6435.885526573647    All      -0.00035175264415732377    1.5176822348429834e-05    -0.00023003280496162838    0.00010925569127883078     
Lambda        AB|PS|PS_g                4184.137992410382    All      -0.0006056516026632787     0.0003193830474153372     -0.0017659204409632746     0.00022250929956568313     
MWEBV         All|All|All               All                  All      -0.5410760858551975        -3.371728250574435        0.12675965716618318        -0.9163798344258861        
Redshift      All|All|All               All                  All      5.95106618778222           0.06338318496830198       3.7922048490692832         -1.748583367586784         
