#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5210.904345626851     All      0.759035758752315          0.3624312377114691         -0.5396098495522706        -0.1532674496513052       
Zeropoint     AB|SDSS|SDSS_i            6319.132292395288     All      1.0160758645473367         0.05063854089950581        0.29286386404235965        -0.30140552907948787      
Zeropoint     AB|SDSS|SDSS_g            3987.8320439985473    All      -0.7988226756924816        0.5535775856502667         0.05487069071578221        0.44296988468104576       
Zeropoint     AB|SDSS|SDSS_u            3032.692630808043     All      -0.0864715737321192        0.02829589985431369        0.009550771980685931       0.037809748973220474      
Zeropoint     AB|SDSS|SDSS_z            7512.92154130418      All      0.10197679557701547        0.004979491562373539       0.18462342782951036        -0.023356317394787954     
Check         All|All|All               All                   All      0.9917941694520664         0.9999227556779289         0.0022989050160674984      0.002750337528685233      
Lambda        AB|SDSS|SDSS_r            5210.904345626851     All      7.353549554224781e-05      3.8829443939319825e-05     -0.0014250107163652182     -7.489658623614427e-05    
Lambda        AB|SDSS|SDSS_i            6319.132292395288     All      -0.00030620429058321734    -2.3250687513170075e-05    -0.00038383694004897185    7.50384176818691e-05      
Lambda        AB|SDSS|SDSS_g            3987.8320439985473    All      -0.0006685140651379948     0.0003465713832979663      -0.001089361921621109      0.0002820335065712929     
Lambda        AB|SDSS|SDSS_u            3032.692630808043     All      -9.040756888517427e-05     2.9418835821332263e-05     6.386016174637128e-06      3.931638075649245e-05     
Lambda        AB|SDSS|SDSS_z            7512.92154130418      All      -1.5844570278884963e-05    -4.920067304450773e-07     -2.2453567158385516e-05    3.998835455290251e-06     
MWEBV         All|All|All               All                   All      -0.7448277205690466        -3.2334653503571786        0.1138291594993273         -0.8055514771780861       
Redshift      All|All|All               All                   All      4.663854320217417          -0.37752509526747247       -2.840640276298877         -1.7689078610220965       
