#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_r            5210.904345626851     All      0.7109035914484334         0.34619278147207666        -0.7246155677384847        -0.15113457418779452      
Zeropoint     AB|SDSS|SDSS_i            6319.132292395288     All      1.0296054771685748         0.038810119797716425       0.18314104566128364        -0.3145619003632777       
Zeropoint     AB|SDSS|SDSS_g            3987.8320439985473    All      -0.8192982863599682        0.5917766177631734         0.24528995412207433        0.4705796833348097        
Zeropoint     AB|SDSS|SDSS_u            3032.692630808043     All      -0.03755555401333506       0.016076572820544754       0.04784458181259499        0.01960483209843822       
Zeropoint     AB|SDSS|SDSS_z            7512.92154130418      All      0.1100526729561879         0.006376380379435886       0.24632575843941407        -0.022778392075098464     
Check         All|All|All               All                   All      0.9937079011998928         0.9992324722329471         -0.0020142277031176548     0.0017096488070772464     
Lambda        AB|SDSS|SDSS_r            5210.904345626851     All      1.1123413085441756e-05     4.077907134280969e-05      -0.0021403169655904134     -8.585269251743281e-05    
Lambda        AB|SDSS|SDSS_i            6319.132292395288     All      -0.0002055626394927868     -1.4614295772994686e-05    -0.000229222720441413      5.196900033202558e-05     
Lambda        AB|SDSS|SDSS_g            3987.8320439985473    All      -0.0007934823901920183     0.00046787924123365044     -0.0008672954014997802     0.00037216357049517883    
Lambda        AB|SDSS|SDSS_u            3032.692630808043     All      -7.749354549820575e-05     2.5202369188323332e-05     -1.6029040980367795e-07    3.3444284983839086e-05    
Lambda        AB|SDSS|SDSS_z            7512.92154130418      All      -1.4586114837967978e-05    5.182160051367644e-07      3.791030139908618e-06      5.08915373689649e-06      
MWEBV         All|All|All               All                   All      -0.704865073511014         -3.2566247815346117        -0.0019627126658816607     -0.8312796741559686       
Redshift      All|All|All               All                   All      4.6843494714512035         -0.8321376132579772        -2.7210823117019167        -1.9183307366163984       
