#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                3484.013981065172    All      -0.41152808221058934       0.21066951767814146        -0.0572988743346603        0.2001132423794405        
Zeropoint     AB|PS|PS_i                5358.980797428333    All      0.6956685183950329         0.3953236237830282         0.2652301436007809         -0.08599621007775171      
Zeropoint     AB|PS|PS_z                6158.776564136112    All      1.1487935628431192         0.06523994214084894        0.5125810140925641         -0.3300749256584981       
Zeropoint     AB|PS|PS_r                4424.461240469549    All      -0.4393672163726687        0.3278674798382397         -0.7194003274034966        0.21781004930183367       
Check         All|All|All               All                  All      0.9935667826548943         0.9991005634402583         0.001111955955188093       0.0018521559450243585     
Lambda        AB|PS|PS_g                3484.013981065172    All      -0.0009562266716067936     0.00022671691251685796     -0.0021055297627999786     0.000291363520071679      
Lambda        AB|PS|PS_i                5358.980797428333    All      1.2645545387366736e-06     1.126096088958736e-06      -0.0007779153731971742     -3.475989074195141e-05    
Lambda        AB|PS|PS_z                6158.776564136112    All      -0.00011919712597571801    -1.0717092758239125e-05    -1.9781250229456126e-05    3.445276936027472e-05     
Lambda        AB|PS|PS_r                4424.461240469549    All      -0.0002126474383719799     -0.00015560104934646474    -0.0016078276615214494     -5.316807837228776e-05    
MWEBV         All|All|All               All                  All      -0.4410501944564458        -2.5212528454549243        0.17588492961053692        -0.6697415034663957       
Redshift      All|All|All               All                  All      3.2939402951245333         -0.13804885829795666       2.6575862163948636         -0.9993159093734182       
