#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_g                3484.013981065172    All      -0.4447168912624557        0.24348436599375134        0.049899395155326876      0.2263965714633508        
Zeropoint     AB|PS|PS_i                5358.980797428333    All      0.632335744233704          0.38994906882869884        0.022530389400461925      -0.07794788666356411      
Zeropoint     AB|PS|PS_z                6158.776564136112    All      1.242051910775818          0.008726475188147731       0.2692302535480749        -0.3897201598865095       
Zeropoint     AB|PS|PS_r                4424.461240469549    All      -0.43752472560705014       0.35803434466430417        -0.3382070142857285       0.24404713658443306       
Check         All|All|All               All                  All      0.9921460381400162         1.000194254674902          0.0034530238181351702     0.0027756614977102467     
Lambda        AB|PS|PS_g                3484.013981065172    All      -0.0008677245771079747     0.00035196750626240885     -0.0008060503273427963    0.0003613235141773357     
Lambda        AB|PS|PS_i                5358.980797428333    All      0.00010771268426103084     6.286879190503704e-05      -9.205979988563523e-05    -1.871533711411265e-05    
Lambda        AB|PS|PS_z                6158.776564136112    All      -0.00019710112799399253    -2.6010869724729928e-05    -0.000374248930637395     3.9028714909426546e-05    
Lambda        AB|PS|PS_r                4424.461240469549    All      -0.0001029374567690817     -0.00014013546848443747    -0.0012284417896627022    -6.693633123750684e-05    
MWEBV         All|All|All               All                  All      -0.4248914498884768        -2.5406870945376525        0.09008604926402314       -0.6851641224429983       
Redshift      All|All|All               All                  All      3.0103286009904444         -0.396566672106502         0.30126201141572645       -1.0962939340498346       
