#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     AB|PS|PS_g                4097.985767991796     All      -0.7520824868448123        0.6525140840503596         -0.15620346301339513       0.4505526698574387        
Zeropoint     AB|PS|PS_z                7244.10947982332      All      0.815146905294067          -0.038680561437232086      1.1596749961646513         -0.22636872711945988      
Zeropoint     AB|PS|PS_r                5204.1637298287205    All      0.2355233386588262         0.3844171509797434         0.7538266819553485         0.08213943574879479       
Zeropoint     AB|PS|PS_i                6303.369377435294     All      0.6976036341613836         0.000735863971712547       -1.7536652151131107        -0.30525078327692745      
Check         All|All|All               All                   All      0.9961913912694644         0.9989865375645834         0.0036329999934940904      0.00107259520984615       
Lambda        AB|PS|PS_g                4097.985767991796     All      -0.0004266595052954945     0.00034038121665256677     -0.00021736169258513405    0.00024015054399475501    
Lambda        AB|PS|PS_z                7244.10947982332      All      -4.1133334804841255e-06    -1.8621591347910093e-06    8.387786089808383e-05      4.476365240628861e-06     
Lambda        AB|PS|PS_r                5204.1637298287205    All      1.2152639082688626e-06     7.704129918754343e-06      -1.0590360575222937e-05    1.641037984260566e-06     
Lambda        AB|PS|PS_i                6303.369377435294     All      -0.0002407609650359198     -2.3727299544424914e-05    -0.001203983536814548      1.6966749494430555e-05    
MWEBV         All|All|All               All                   All      -0.49690313307954304       -3.271998090013817         0.1528269789296192         -0.8971197592250542       
Redshift      All|All|All               All                   All      3.594515644072829          -0.1133904512050421        -5.724791567557339         -1.4632581563626148       
