#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_g                4097.985767991796     All      -0.7191686217816206       0.6697168299481859         0.0081933056326422         0.452771314202436          
Zeropoint     AB|PS|PS_z                7244.10947982332      All      0.8558373465750505        -0.042812899146937866      1.1884064885855417         -0.2396868263145828        
Zeropoint     AB|PS|PS_r                5204.1637298287205    All      0.20804423316035708       0.3745775384267347         0.670201989481714          0.08415341297243403        
Zeropoint     AB|PS|PS_i                6303.369377435294     All      0.6523420503894344        -0.0028654434728991873     -1.8644743450609735        -0.2966255632363801        
Check         All|All|All               All                   All      0.9970550083432215        0.9986160257550836         0.002327438638924484       0.000612337623907111       
Lambda        AB|PS|PS_g                4097.985767991796     All      -0.0004927748316422795    0.00040100318058274785     -0.00022979901488863746    0.00028087802839911534     
Lambda        AB|PS|PS_z                7244.10947982332      All      1.841724768603375e-05     -2.1905539048479002e-06    0.00010049359164701838     -2.2280715098502053e-06    
Lambda        AB|PS|PS_r                5204.1637298287205    All      8.073020913780362e-06     2.2576811222707863e-05     3.0880713234948675e-06     4.862168104314755e-06      
Lambda        AB|PS|PS_i                6303.369377435294     All      -0.0001591936982581677    -2.010779865667067e-05     -0.0010963818677959339     -3.6216339695589258e-06    
MWEBV         All|All|All               All                   All      -0.4955244042075959       -3.274198015471619         0.14740562904102528        -0.8985273746206522        
Redshift      All|All|All               All                   All      3.456157252579303         -0.36961712202447927       -5.946422428792094         -1.5115421001134526        
