#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3700.928801688593    All      -0.7990714274825417        0.3675777601289454        0.2060532235906516        0.3892112310239109         
Zeropoint     AB|PS|PS_i                5692.631111323781    All      0.6935482398097885         0.022203149159594204      -2.297786345930921        -0.3212188338901403        
Zeropoint     AB|PS|PS_r                4699.928337199829    All      0.21782828383142094        0.5083893772610537        0.2387058037294873        0.10529765099041449        
Zeropoint     AB|PS|PS_z                6542.222187755819    All      0.8841044277014347         0.10084409766033531       1.866378923194313         -0.1718457386200256        
Check         All|All|All               All                  All      0.9964095238601026         0.9990143842099286        0.013351604583530907      0.0014443095041595244      
Lambda        AB|PS|PS_g                3700.928801688593    All      -0.0013472954405779568     0.0004923689354165641     -0.0008502315981376264    0.0005612972791692723      
Lambda        AB|PS|PS_i                5692.631111323781    All      -0.00026984812683432207    -1.571993974740907e-05    0.0006246901838044084     0.00011065496490818143     
Lambda        AB|PS|PS_r                4699.928337199829    All      -0.00014702910151400198    -7.911207320012837e-05    -0.0010025323325317118    -2.2615603010739706e-05    
Lambda        AB|PS|PS_z                6542.222187755819    All      -0.0004468669004454251     -5.216756692559793e-05    -0.0009774670533670075    8.494669290180688e-05      
MWEBV         All|All|All               All                  All      -0.481013506867364         -2.802604053886526        0.09634279633296096       -0.7519190827106015        
Redshift      All|All|All               All                  All      5.976809381227028          0.12630517277649744       -2.3574506613821566       -2.0109038922019176        
