#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_g                3700.928801688593    All      -0.6435862380995805       0.42259722024802215        0.9048238267288511        0.38766916045910593        
Zeropoint     AB|PS|PS_i                5692.631111323781    All      0.6814878676815179        -0.03177995038807779       -3.2714685322113857       -0.3783254094405719        
Zeropoint     AB|PS|PS_r                4699.928337199829    All      0.008609457390518216      0.5504856487437593         0.7180334175971193        0.20854943634008027        
Zeropoint     AB|PS|PS_z                6542.222187755819    All      0.9497191209048665        0.058418115622949074       1.6685668148759047        -0.2158655868546966        
Check         All|All|All               All                  All      0.9962302078773224        0.9997210342266527         0.019955526990489414      0.0020276005039177036      
Lambda        AB|PS|PS_g                3700.928801688593    All      -0.0013375883746700994    0.000722433081664936       0.0006766976687605704     0.0007012146700179914      
Lambda        AB|PS|PS_i                5692.631111323781    All      -1.620993985280327e-05    7.036198326719626e-05      0.001497017549358176      9.500434116679794e-05      
Lambda        AB|PS|PS_r                4699.928337199829    All      -7.290945871220192e-05    9.753075083771612e-06      -0.0009290224979992166    -1.4532100465771711e-05    
Lambda        AB|PS|PS_z                6542.222187755819    All      -0.0004561720181086788    -2.8972047980293146e-05    -0.0008128590668120705    0.00010287891790720912     
MWEBV         All|All|All               All                  All      -0.4499304581945629       -2.8190080225499514        0.03249987294784429       -0.770236182984213         
Redshift      All|All|All               All                  All      4.780081857058371         -1.0963076400349436        -9.635399865961736        -2.344117028902304         
