#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4612.08245441972      All      -0.44926962144596083      0.594623590535015          0.5950179483216467        0.366583280423792          
Zeropoint     AB|PS|PS_g                3631.7551176735797    All      -0.5801424421828565       0.22464207184942353        -0.38541990914656155      0.24494527246879516        
Zeropoint     AB|PS|PS_i                5586.230721905568     All      1.7788839241631498        0.2512326561328493         0.5502096647637067        -0.4730529459145514        
Zeropoint     AB|PS|PS_z                6419.9421778930655    All      0.24147820002815598       -0.07048877966706613       -0.7674806696551656       -0.1358670460710032        
Check         All|All|All               All                   All      0.9909500605624886        1.0000095388502217         -0.00767296571637377      0.002608560907032542       
Lambda        AB|PS|PS_r                4612.08245441972      All      -0.000238936781567743     -0.00014920740139159143    -0.0013947908840016346    -3.301529997787373e-05     
Lambda        AB|PS|PS_g                3631.7551176735797    All      -0.0009515104108078272    0.00036186098574408335     -0.0007642423567288102    0.00039370364614985787     
Lambda        AB|PS|PS_i                5586.230721905568     All      -9.237888060152918e-05    -5.0296971932414665e-05    -0.0011885597353558023    -3.9332500024309585e-05    
Lambda        AB|PS|PS_z                6419.9421778930655    All      4.1261696113346555e-05    -4.3879143125029194e-05    -0.0007002423607936542    -5.898177285573498e-05     
MWEBV         All|All|All               All                   All      -0.47962000064648924      -2.7293892219537597        -0.08234723841867297      -0.7364986296321266        
Redshift      All|All|All               All                   All      5.5083923560071515        0.5175585635415203         7.148797077460184         -1.3066607794311358        
