#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4612.08245441972      All      -0.4776815259879873        0.5857749007102342         0.5681629924914532        0.3717572497294953         
Zeropoint     AB|PS|PS_g                3631.7551176735797    All      -0.657673563633469         0.24556742051036196        -0.49676618933907807      0.27204691081575805        
Zeropoint     AB|PS|PS_i                5586.230721905568     All      1.8631135293047716         0.2429988480217915         0.6378639832089994        -0.4992597119163998        
Zeropoint     AB|PS|PS_z                6419.9421778930655    All      0.26345296049147693        -0.07433850896791938       -0.7185714402772564       -0.14209633771250177       
Check         All|All|All               All                   All      0.9912114001747924         1.0000026602744683         -0.009310653915881928     0.0024481109163518033      
Lambda        AB|PS|PS_r                4612.08245441972      All      -0.00019612798498036218    -0.00017299313115872058    -0.0015162484480765622    -6.012742135662784e-05     
Lambda        AB|PS|PS_g                3631.7551176735797    All      -0.0010209384834710482     0.00037530121613861225     -0.0008177828824703507    0.0004183073109808542      
Lambda        AB|PS|PS_i                5586.230721905568     All      -0.0001113063357090927     -2.3533253257695627e-05    -0.0010657593187688276    -1.8969362938088716e-05    
Lambda        AB|PS|PS_z                6419.9421778930655    All      9.621115890544974e-05      -4.29488269898539e-05      -0.0005210761137418477    -6.858221937392078e-05     
MWEBV         All|All|All               All                   All      -0.4628676025559324        -2.7351224603771485        -0.06996617774616307      -0.7432704313265279        
Redshift      All|All|All               All                   All      5.10492271241141           0.4189673455327281         5.534538235671073         -1.2793888041015458        
