#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                    dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     VEGAHST|UVOT|UVOT_v       5286.286987985542     All      1.8673403531132153        0.45620706224269725       1.153143761130082         -0.4081930278813345        
Zeropoint     VEGAHST|UVOT|UVOT_b       4254.87364664301      All      -0.14171373798397108      0.37996468287975205       -1.3469177480887828       0.1098210714578371         
Zeropoint     VEGAHST|UVOT|UVOT_u       3394.4663522530914    All      -0.7304615302839511       0.16213415717780677       0.19536939840995027       0.2994662198840134         
Check         All|All|All               All                   All      0.9951650848452931        0.9983059023002561        0.0015954114512495288     0.0010942634605159984      
Lambda        VEGAHST|UVOT|UVOT_v       5286.286987985542     All      0.0011371966451846622     0.00029304282871801644    0.0013253031569719765     -0.00021582647686041863    
Lambda        VEGAHST|UVOT|UVOT_b       4254.87364664301      All      -0.0002958322013326195    3.599664275795925e-05     -0.0017888821690547532    2.825797619872234e-05      
Lambda        VEGAHST|UVOT|UVOT_u       3394.4663522530914    All      -0.0008437028178288168    -6.815876110912659e-05    -0.0022135683522215327    0.00015383882490727695     
MWEBV         All|All|All               All                   All      -1.5684796339165952       -3.7712659482853184       0.7028665171482928        -0.6861542675958981        
Redshift      All|All|All               All                   All      -0.18185695301713145      -0.9017335060329756       -2.970411867096756        -0.367043315572671         
