#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                5068.123729747145    All      -0.3888768230567703        0.8049662297231919        0.1518905560902173        0.3956521364704632         
Zeropoint     AB|PS|PS_i                6138.595474242067    All      1.2348863872319065         -0.012773124427667426     0.3005708168517085        -0.3929906546419837        
Zeropoint     AB|PS|PS_g                3990.861931549731    All      -0.6540243036540871        0.4555626483456976        -0.18350396370161448      0.35324003549598165        
Zeropoint     AB|PS|PS_z                7054.7440590973      All      0.8017056493168504         -0.24627191424126949      -0.26864813435492074      -0.35334930226864625       
Check         All|All|All               All                  All      0.9936909098378992         1.0014838393999526        0.0003092748853905647     0.0025522150558149326      
Lambda        AB|PS|PS_r                5068.123729747145    All      -0.00010207322818187953    0.0004132781717684009     0.0003438860377565719     0.00018321295997489602     
Lambda        AB|PS|PS_i                6138.595474242067    All      0.00016324520818558508     -9.505024553154966e-05    -0.0008002904075744339    -0.00011984861223284437    
Lambda        AB|PS|PS_g                3990.861931549731    All      -0.0005801357099627692     0.00039903290427024447    -7.87416213740706e-05     0.0003154335544315199      
Lambda        AB|PS|PS_z                7054.7440590973      All      -0.00012704326944789121    -0.0002812675138208229    -0.0016646361396394792    -0.00012452097573405224    
MWEBV         All|All|All               All                  All      -0.49998502482056084       -3.1716405607408404       -0.06433055885191052      -0.8731168802876194        
Redshift      All|All|All               All                  All      5.499408566056542          -1.835327009193577        -5.532042937534309        -2.636034351039844         
