#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     AB|PS|PS_r                5068.123729747145    All      -0.41555775022507635       0.8225925096137843         0.2642799240770911         0.41509987278091925        
Zeropoint     AB|PS|PS_i                6138.595474242067    All      1.11129939972309           -0.002984890999613299      -0.03545833177271275       -0.3645413948454609        
Zeropoint     AB|PS|PS_g                3990.861931549731    All      -0.5044195845637744        0.3947710805039861         -0.13655878362296947       0.2868019907854768         
Zeropoint     AB|PS|PS_z                7054.7440590973      All      0.8026143603789515         -0.21397563633431815       -0.09291128675978547       -0.3352830107489773        
Check         All|All|All               All                  All      0.9939364253131908         1.000403062783839          -0.0006484780783765631     0.0020774579719578523      
Lambda        AB|PS|PS_r                5068.123729747145    All      -0.00026692357215723676    0.00045073441571973457     0.00022357510945326142     0.00024374194718959874     
Lambda        AB|PS|PS_i                6138.595474242067    All      0.0003221417472017742      -4.8297798485345886e-05    -0.00028043847812989314    -0.00013317902840094968    
Lambda        AB|PS|PS_g                3990.861931549731    All      -0.0005169556334571416     0.00038365761914430134     -0.00012933962078507123    0.0002875875324279766      
Lambda        AB|PS|PS_z                7054.7440590973      All      -2.795767022625682e-05     -0.0003027727061306118     -0.001412425366938595      -0.00015254635543157739    
MWEBV         All|All|All               All                  All      -0.49247407560442147       -3.1667336990796713        -0.017287751072071138      -0.8718658128247959        
Redshift      All|All|All               All                  All      6.630028890359124          -1.199489176919677         -1.8740714261683327        -2.633962818457284         
