#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6274.373666875896     All      1.0849382537399614         0.0896971466577412        0.44842075616790006        -0.3041718122108202       
Zeropoint     AB|SDSS|SDSS_z            7459.707266580341     All      0.11034238977323171        0.008633025482573942      0.14789626090645863        -0.026530155226864152     
Zeropoint     AB|SDSS|SDSS_g            3959.5860961638477    All      -0.8291811697712197        0.5716622851668518        0.051579484328260476       0.45860255514366227       
Zeropoint     AB|SDSS|SDSS_r            5173.995335745231     All      0.6933781262512432         0.307114730914293         -0.6770379775671459        -0.15603179096535805      
Zeropoint     AB|SDSS|SDSS_u            3011.2119674041273    All      -0.06684970486175226       0.022793954831712426      0.03473061378949551        0.03074975693245133       
Check         All|All|All               All                   All      0.9926278951314643         0.9999011430531723        0.0055891376249687305      0.002618553673071237      
Lambda        AB|SDSS|SDSS_i            6274.373666875896     All      -0.0002524965825825787     -3.330285492847677e-05    -0.0003521335451368223     5.5684505527803664e-05    
Lambda        AB|SDSS|SDSS_z            7459.707266580341     All      -1.6625229354707292e-05    -8.593497702197396e-07    -1.4845134873948904e-05    4.472995474513535e-06     
Lambda        AB|SDSS|SDSS_g            3959.5860961638477    All      -0.0007500425242504246     0.00039349902151686723    -0.0008597288720209732     0.0003341233518893872     
Lambda        AB|SDSS|SDSS_r            5173.995335745231     All      2.3964426812446866e-05     1.2565532791211651e-05    -0.0017990867436028198     -8.39979732556422e-05     
Lambda        AB|SDSS|SDSS_u            3011.2119674041273    All      -7.783244779582997e-05     2.7041607762019264e-05    4.4159048975687934e-05     3.6131545689745435e-05    
MWEBV         All|All|All               All                   All      -0.7033943800113671        -3.209480935929676        0.13720814664251882        -0.8101918696509068       
Redshift      All|All|All               All                   All      4.708610691333113          -0.05913869348237455      -1.9827386183954534        -1.641493347080021        
