#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3569.114477308036     All      -0.23615540606772875       0.08183473692495724        -0.057430041736927784      0.10101701214160486       
Zeropoint     VEGAHST|UVOT|UVOT_v                      5371.6418424777985    All      0.27668420916133946        0.060648861947854016       0.04090302583406036        -0.06854450575707466      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4770.934989829823     All      -0.04620583785259136       0.3068571091785266         0.09746414672491266        0.11935359450567784       
Zeropoint     VEGAHST|UVOT|UVOT_b                      4323.574820419152     All      -0.18589759500952965       0.1537443666014049         0.04462557030453507        0.11262399503018106       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6175.7519334692315    All      0.8454637565544975         0.008710326954197711       0.18206397305806643        -0.2644334414629787       
Zeropoint     VEGAHST|UVOT|UVOT_u                      3449.274988680497     All      -0.16170511975010982       0.05957188123408841        0.017044546489608514       0.07283781884471485       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7550.802384197844     All      0.23363421519541672        -0.009798923107773305      0.08620500402780618        -0.07544724845321843      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5335.085372298641     All      0.6070927244379827         0.143536270488287          0.01567688606014528        -0.15029600018223316      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4367.363035629703     All      -0.3395923404378196        0.19288419737018003        -0.4233917920368535        0.1545510952113846        
Check         All|All|All                              All                   All      0.9933186062314571         0.9979888275917226         0.0031613187253531905      0.0016623198780582604     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3569.114477308036     All      -0.00015250166165416327    2.1671612638517526e-05     -0.00019202649291147816    4.816470513479098e-05     
Lambda        VEGAHST|UVOT|UVOT_v                      5371.6418424777985    All      0.00017227843307923528     4.402527330218999e-06      -0.00017797317782050533    -6.262483098059464e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4770.934989829823     All      -0.00010138027255812704    -0.00011493427103296612    -0.0009668955931019373     -4.756309274586466e-05    
Lambda        VEGAHST|UVOT|UVOT_b                      4323.574820419152     All      -3.0577764430346526e-05    -1.3520710579363182e-05    -0.00019717595763178936    -3.243013793020132e-06    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6175.7519334692315    All      -9.578977703332615e-05     -4.544412297728959e-06     -7.166879285824869e-05     2.6523368115315028e-05    
Lambda        VEGAHST|UVOT|UVOT_u                      3449.274988680497     All      5.307105312166312e-05      -4.857382904896134e-05     -0.00020993521863420808    -4.247752675032931e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7550.802384197844     All      -4.312552946348937e-05     1.513646678977976e-06      -1.9901093696924176e-05    1.3652353845598937e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5335.085372298641     All      0.00016578272443673223     -8.100153520960427e-06     -0.0005471347865310181     -8.105548655128409e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4367.363035629703     All      -0.00026890661842922034    -5.276959648609169e-06     -0.0010190836980579123     4.039582806080689e-05     
MWEBV         All|All|All                              All                   All      -1.2224720136507625        -3.93673871291611          0.07995750430793702        -0.8805578244870229       
Redshift      All|All|All                              All                   All      4.086801493001241          1.5991666548891281         7.779736912983792          -0.4631305801411509       
