#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                     
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3569.114477308036     All      -0.21577362288561736       0.08044726466702734        -0.02656408684828061       0.09530345526202941       
Zeropoint     VEGAHST|UVOT|UVOT_v                      5371.6418424777985    All      0.35904148912464484        0.07776184703764955        0.05874307822628761        -0.08900059946905338      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4770.934989829823     All      -0.10350601913044272       0.2950449766734309         -0.04776198142189476       0.12768977340360718       
Zeropoint     VEGAHST|UVOT|UVOT_b                      4323.574820419152     All      -0.22627549522270868       0.1797936779111442         0.07852490284286928        0.13577429473072508       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6175.7519334692315    All      0.8552859981406596         -0.012256673583976863      0.15896036845893408        -0.2754935183210953       
Zeropoint     VEGAHST|UVOT|UVOT_u                      3449.274988680497     All      -0.15394338468688012       0.06067064528250121        0.02708737523462349        0.0711156353017996        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7550.802384197844     All      0.24034835679996033        -0.014953347648827275      0.0907480394571624         -0.07911049610526266      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5335.085372298641     All      0.576376121244701          0.13017878847119135        -0.05907127722178618       -0.1479772305384021       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4367.363035629703     All      -0.3375096427305258        0.20070633677615746        -0.28002926660241195       0.1628182312645449        
Check         All|All|All                              All                   All      0.9940438006537913         0.9973935155862979         0.0006371521255033596      0.001119545528892707      
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3569.114477308036     All      -0.000323493222684791      4.6518296427851325e-05     -0.0004900697127686967     9.865536432030322e-05     
Lambda        VEGAHST|UVOT|UVOT_v                      5371.6418424777985    All      0.0001554107382102859      8.617642866990797e-06      -0.0002309380211590622     -5.812104372706405e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4770.934989829823     All      -9.456036319241019e-05     -0.00012134254761117225    -0.0012891583119495108     -6.625305314522641e-05    
Lambda        VEGAHST|UVOT|UVOT_b                      4323.574820419152     All      -5.888226244550994e-05     1.7472955278444298e-06     -0.0001968732946450738     1.096349075145904e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6175.7519334692315    All      -9.591398252931514e-05     -1.1070659009320361e-05    -0.00013933586963534126    2.1418341817574276e-05    
Lambda        VEGAHST|UVOT|UVOT_u                      3449.274988680497     All      -3.0467915911194336e-05    5.85626639100125e-06       -3.3911219636211854e-05    1.0318679222161095e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7550.802384197844     All      -5.2268371733531254e-05    1.0235981420391777e-06     -3.7789585147581986e-05    1.5672572218355603e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5335.085372298641     All      0.00018994642520987065     -1.1892250612026906e-05    -0.0005658433765438384     -9.099648808091318e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4367.363035629703     All      -0.00023845543988682493    2.745884823392839e-05      -0.0007541912246619219     5.296094147950165e-05     
MWEBV         All|All|All                              All                   All      -1.1689502948889992        -3.9554551771224578        0.0596397717997932         -0.9049948643312336       
Redshift      All|All|All                              All                   All      4.347273316488554          1.0549651582445918         7.019425037430032          -0.7591683804938265       
