#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_b       4303.199342616605    All      -0.7176955579979972        0.5163147526339174        -0.29014369983397165       0.3890099751643845        
Zeropoint     VEGAHST|UVOT|UVOT_v       5346.327195762831    All      2.255679741629194          0.33784796392071215       0.2911794902880795         -0.6117069014785065       
Zeropoint     VEGAHST|UVOT|UVOT_u       3433.019776527159    All      -0.5531050489048442        0.1475322592524364        0.0012857981526860967      0.22827800081569988       
Check         All|All|All               All                  All      0.9848791347263526         1.001694975807066         0.00232158860679394        0.0055810745015779095     
Lambda        VEGAHST|UVOT|UVOT_b       4303.199342616605    All      -0.0003745442777849616     -4.242396878498256e-05    -0.0018288660010183596     2.6568621127186895e-05    
Lambda        VEGAHST|UVOT|UVOT_v       5346.327195762831    All      0.0008915019387150144      -1.170390223331586e-05    -0.001881178445905301      -0.0003781522110870868    
Lambda        VEGAHST|UVOT|UVOT_u       3433.019776527159    All      -0.00010610443588663049    -8.35820837049318e-06     -0.00030495380961979976    1.823047413622956e-05     
MWEBV         All|All|All               All                  All      -1.4249025323169708        -3.8890932341535844       0.06876902013420666        -0.7995991355303672       
Redshift      All|All|All               All                  All      -1.1687865615717223        -0.07539576369168799      -1.7275554690118213        0.2790604881516009        
