Salt2Model
BEGIN_OF_FITPARAMS Salt2Model
DayMax 54812.43052461257 0.16618325496626943
Redshift 0.017369 0 F
Color 0.01683542183430194 0.02607672813095962
X0 0.005861799209359718 0.00013961814348730794
X1 -2.625100377523898 0.207678065590198
RestFrameMag_0_UX 15.97288803080754 0.0
RestFrameMag_0_B 16.223950188133827 0.02586040016233234
RestFrameMag_0_V 16.207276840582193 0.0
RestFrameMag_0_R 16.163497282490006 0.0
CovDayMaxDayMax 0.02761687423118411 -1
CovDayMaxRestFrameMag_0_B 0.0007039259018621793 -1
CovDayMaxX1 0.003074627085508694 -1
CovDayMaxColor 0.0004103940399631515 -1
CovRestFrameMag_0_BDayMax 0.0007039259018621793 -1
CovRestFrameMag_0_BRestFrameMag_0_B 0.0006687602965559586 -1
CovRestFrameMag_0_BX1 0.002844953898084 -1
CovRestFrameMag_0_BColor 0.0002268239779841428 -1
CovX1DayMax 0.003074627085508691 -1
CovX1RestFrameMag_0_B 0.0028449538980839977 -1
CovX1X1 0.04313017892728658 -1
CovX1Color 0.0007440952388423959 -1
CovColorDayMax 0.00041039403996315183 -1
CovColorRestFrameMag_0_B 0.00022682397798414307 -1
CovColorX1 0.0007440952388424007 -1
CovColorColor 0.0006799957500159807 -1

dmu_estimate 0.08153565281158143
FirstPhase  -9.162088300878807
LastPhase  41.951126275153925
LatestNegPhase  -3.4919725415003886
EarliestPosPhase  0.24187427317488785
NightsNegPhase  5
NightsPosPhase  12

salt3source   1
salt2_version   salt3-f22
