#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb             Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     VEGAHST|UVOT|UVOT_b       4303.199342616605    All      -0.19017835297589508       0.46877985088311647        -0.28693026601547267      0.20183998612862927       
Zeropoint     VEGAHST|UVOT|UVOT_v       5346.327195762831    All      1.9038654603176064         0.3778145815460654         0.4539192330319963        -0.4768286462039601       
Zeropoint     VEGAHST|UVOT|UVOT_u       3433.019776527159    All      -0.7242508177214351        0.15169621733273075        -0.1729636927546352       0.2776061919044889        
Check         All|All|All               All                  All      0.9894362896202762         0.9982906497619126         -0.00597472573811153      0.0026175318291580263     
Lambda        VEGAHST|UVOT|UVOT_b       4303.199342616605    All      -0.00025070447399298384    -2.6846377387472523e-05    -0.0016560191504252568    -9.825820855859645e-07    
Lambda        VEGAHST|UVOT|UVOT_v       5346.327195762831    All      0.0009246550823312179      9.491408187850238e-05      -0.001307955058388565     -0.0003286419685511235    
Lambda        VEGAHST|UVOT|UVOT_u       3433.019776527159    All      0.00015249328072954873     -5.8510163560805633e-05    -0.000373386883184409     -8.539330530508743e-05    
MWEBV         All|All|All               All                  All      -1.636984016833153         -3.8734673761721794        -0.03764452608301383      -0.7301761105577849       
Redshift      All|All|All               All                  All      -0.9560512263676884        0.28994185162218855        2.441422730375642         0.5148104208636286        
