#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6656.615111614639     All      0.8147027578824243         -0.03482416649269737      0.2363196398247266         -0.26617300772610236      
Zeropoint     AB|SDSS|SDSS_r            5489.200574898849     All      0.9265716474392656         0.3745292913276188        -0.12155815557778851       -0.18524293922664622      
Zeropoint     AB|SDSS|SDSS_g            4200.808246823344     All      -0.777282993743677         0.6121489879330255        -0.2688858219530377        0.4405845681006959        
Zeropoint     AB|SDSS|SDSS_z            7914.160481242887     All      0.14158007640196563        -0.013324159748151487     0.06512090375125461        -0.047551359067164574     
Zeropoint     AB|SDSS|SDSS_u            3194.6581684029047    All      -0.11264390881610938       0.06191413001914725       0.09372597749571936        0.06104185594533231       
Check         All|All|All               All                   All      0.9929275791638691         1.0004440830389427        0.004722543540874369       0.0026591180261150843     
Lambda        AB|SDSS|SDSS_i            6656.615111614639     All      -0.00039385938184840255    1.0243069068294647e-05    -0.00034719913795241937    0.00011613555994046114    
Lambda        AB|SDSS|SDSS_r            5489.200574898849     All      0.00012843041077054054     1.7303818114453326e-05    -0.0007191365697997371     -6.828934941975609e-05    
Lambda        AB|SDSS|SDSS_g            4200.808246823344     All      -0.0006163231981280049     0.0002869166846917386     -0.0011518674227005146     0.00024281239280448633    
Lambda        AB|SDSS|SDSS_z            7914.160481242887     All      1.4047939750848553e-05     -1.137938900800622e-06    2.3781016411922438e-05     -3.885302737203844e-06    
Lambda        AB|SDSS|SDSS_u            3194.6581684029047    All      -8.00904961956402e-05      4.389188416201912e-05     6.764596737053632e-05      4.3403869018704495e-05    
MWEBV         All|All|All               All                   All      -0.7966465686394146        -3.4590847767518085       0.16835400733517467        -0.8597308498721418       
Redshift      All|All|All               All                   All      2.572063299262157          -0.30263700313781783      -1.5157962358095751        -1.0040274875263475       
