#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|SDSS|SDSS_i            6656.615111614639     All      0.8493850622263089         -0.06629036760426033       0.1113789723170222        -0.29329528033326946      
Zeropoint     AB|SDSS|SDSS_r            5489.200574898849     All      0.9150506681517716         0.3660850657205117         -0.1627563776650076       -0.18607922676591726      
Zeropoint     AB|SDSS|SDSS_g            4200.808246823344     All      -0.8488049706210532        0.6755780964740055         -0.10203534070907239      0.4919883470416664        
Zeropoint     AB|SDSS|SDSS_z            7914.160481242887     All      0.15165976521983413        -0.01859674827429103       0.07115755826003767       -0.05228271270765472      
Zeropoint     AB|SDSS|SDSS_u            3194.6581684029047    All      -0.07192488182490145       0.042928841790512706       0.08784595693418495       0.04133179795289821       
Check         All|All|All               All                   All      0.99536564315196           0.9997048881064785         0.0055907691371648305     0.0016629251877231521     
Lambda        AB|SDSS|SDSS_i            6656.615111614639     All      -0.00040710245667015303    1.3386366438360653e-05     -0.0004086947577191111    0.00011872887338794642    
Lambda        AB|SDSS|SDSS_r            5489.200574898849     All      0.00020985553401842193     7.146584702891765e-05      -0.0007029475146802739    -7.644739299697128e-05    
Lambda        AB|SDSS|SDSS_g            4200.808246823344     All      -0.000749733473842381      0.00044005213979781576     -0.0008471838686004753    0.0003497463920657758     
Lambda        AB|SDSS|SDSS_z            7914.160481242887     All      2.2145290837660337e-05     -1.2736782425218026e-06    4.2277055536091014e-05    -5.741697873530186e-06    
Lambda        AB|SDSS|SDSS_u            3194.6581684029047    All      -6.707114427335106e-05     4.1600918831215115e-05     8.568070790179204e-05     3.922160263423834e-05     
MWEBV         All|All|All               All                   All      -0.7147543360893946        -3.5015248323801984        0.09999931419087948       -0.9032803225559133       
Redshift      All|All|All               All                   All      2.711217435517135          -0.9427412667360358        -1.5218354465774575       -1.258127087437877        
