#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                     dc/dP                      
Zeropoint     AB|PS|PS_r                4666.553154658793     All      -0.218165910270798         0.44598762659742164       0.6319713792081081        0.24453863707483078        
Zeropoint     AB|PS|PS_z                6495.764487962367     All      0.589689419506237          0.03379677069847986       0.8654301937038641        -0.14245234927372238       
Zeropoint     AB|PS|PS_g                3674.6477255815203    All      -0.7019790868034652        0.3707628737910085        -0.0956541331172055       0.3451587440903637         
Zeropoint     AB|PS|PS_i                5652.206536979652     All      1.3287248528641917         0.14893322817695065       -1.3906797928715984       -0.4463565981467916        
Check         All|All|All               All                   All      0.9982692752961657         0.9994804992638606        0.011067646923168306      0.0008884337446804502      
Lambda        AB|PS|PS_r                4666.553154658793     All      -5.4487438566057204e-05    -9.560984635427e-05       -0.0007673702227014037    -4.7639129738861604e-05    
Lambda        AB|PS|PS_z                6495.764487962367     All      -0.0001290537177331321     -3.359727218242072e-06    -0.0001658451077688436    3.3541762459465305e-05     
Lambda        AB|PS|PS_g                3674.6477255815203    All      -0.0013310166902321132     0.0006092888104345674     -0.0008053440928464257    0.0005960825276699415      
Lambda        AB|PS|PS_i                5652.206536979652     All      -0.00018326104564369308    8.451821830314064e-05     0.001687156892747095      0.00016251457923556538     
MWEBV         All|All|All               All                   All      -0.4551397553709804        -2.777380509951577        0.025881191493825086      -0.7552752545100792        
Redshift      All|All|All               All                   All      7.00058774227068           0.1106937848417644        -2.7259037722622477       -2.3659096984458774        
