#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                     dc/dP                     
Zeropoint     AB|PS|PS_r                4666.553154658793     All      -0.19827450272010994       0.43552484646802725        0.6012133485291948        0.23327868988164066       
Zeropoint     AB|PS|PS_z                6495.764487962367     All      0.5397760988444131         0.014203813929114517       0.5979905484219228        -0.14451061230667597      
Zeropoint     AB|PS|PS_g                3674.6477255815203    All      -0.75431593909504          0.423798941866238          0.14091797262303363       0.3900392974627471        
Zeropoint     AB|PS|PS_i                5652.206536979652     All      1.4115053958725503         0.12613286624887365        -1.3276417327479528       -0.47793467329320727      
Check         All|All|All               All                   All      0.9986910529018137         0.9996604685122534         0.012480136826198418      0.0008727017445045449     
Lambda        AB|PS|PS_r                4666.553154658793     All      4.745813441226618e-05      -0.00012716737819882105    -0.0006424075079960464    -8.55489710770507e-05     
Lambda        AB|PS|PS_z                6495.764487962367     All      -8.23440612779653e-05      2.4806064329587832e-05     0.000191048341511079      4.342793107315015e-05     
Lambda        AB|PS|PS_g                3674.6477255815203    All      -0.0013118950498604751     0.0005935194207029553      -0.000656979025271116     0.0005913382228342957     
Lambda        AB|PS|PS_i                5652.206536979652     All      -0.00025917081936551475    0.00020121834511933307     0.0027789342331828067     0.00027397496886999754    
MWEBV         All|All|All               All                   All      -0.4580253515339727        -2.778612148282811         -0.00053545327662885      -0.7559153595595232       
Redshift      All|All|All               All                   All      6.734865617366959          0.15259638222051564        -4.295248825894393        -2.3357388678482005       
