#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                     
Zeropoint     AB|SDSS|SDSS_u            3253.1809237101807    All      -0.26430207982930554       0.14145422515543515       0.1783289568763724         0.14012617982957776       
Zeropoint     AB|SDSS|SDSS_g            4277.762606307925     All      -0.4884789964914794        0.5402230420592957        -0.6203500566572817        0.30739872338395036       
Zeropoint     AB|SDSS|SDSS_z            8059.139522157877     All      0.1274701457851338         0.0034181215841755375     0.1200900767307278         -0.035048756901905065     
Zeropoint     AB|SDSS|SDSS_i            6778.557252781653     All      0.8634362938364478         0.06567536314481259       1.0362648397550966         -0.2136132402753052       
Zeropoint     AB|SDSS|SDSS_r            5589.756917751005     All      0.7418199627211517         0.2519162053969737        -0.7489468518672382        -0.19299982932572957      
Check         All|All|All               All                   All      0.9799453260219484         1.0026869573406927        -0.03461303516232306       0.0058630767105882775     
Lambda        AB|SDSS|SDSS_u            3253.1809237101807    All      -0.0001534941514841128     7.595627971613955e-05     4.209229061580475e-05      7.661793974417511e-05     
Lambda        AB|SDSS|SDSS_g            4277.762606307925     All      -0.000277975995410275      0.0001339416708920907     -0.001587734049877897      6.332185715605661e-05     
Lambda        AB|SDSS|SDSS_z            8059.139522157877     All      -1.5180916770367085e-05    4.697577511623511e-07     -1.3137294193585512e-05    4.51168248111017e-06      
Lambda        AB|SDSS|SDSS_i            6778.557252781653     All      -0.0004893190536535056     -3.305092978986209e-05    -0.0004930413326973076     0.00012661936849645355    
Lambda        AB|SDSS|SDSS_r            5589.756917751005     All      -6.625725202212042e-05     -1.096975844284974e-05    7.135424156186857e-05      2.1193167646008687e-05    
MWEBV         All|All|All               All                   All      -0.9297100064460104        -3.482416639753083        0.30479954305471235        -0.8178987283089828       
Redshift      All|All|All               All                   All      3.888448253216657          0.8031736016320679        -2.5736443629293726        -1.119825384138734        
