#Format:      
#Parameter    MagSys|Instrument|Band    RestLamb              Phase    dmu/dP                     dmB/dP                    ds/dP                      dc/dP                      
Zeropoint     AB|SDSS|SDSS_u            3253.1809237101807    All      -0.16722417300908657       0.11823038084379789       0.3001000540710441         0.10637402646925652        
Zeropoint     AB|SDSS|SDSS_g            4277.762606307925     All      -0.5735845469797864        0.5759168473558063        -0.2842326599455032        0.36174642342770646        
Zeropoint     AB|SDSS|SDSS_z            8059.139522157877     All      0.13159225884153297        -0.0003523331674415431    0.1534159642169738         -0.03613244459649809       
Zeropoint     AB|SDSS|SDSS_i            6778.557252781653     All      0.8680309321007036         0.05493890276273561       1.1773440516843816         -0.2123113662075595        
Zeropoint     AB|SDSS|SDSS_r            5589.756917751005     All      0.734245110526457          0.2520051976835802        -1.3364647645960652        -0.2167216891180905        
Check         All|All|All               All                   All      0.9930595814798205         1.0007389954784784        0.010162645430831008       0.00295494997481488        
Lambda        AB|SDSS|SDSS_u            3253.1809237101807    All      -0.00010711216512143959    7.615409151638392e-05     0.00019369982286864107     6.833978253121413e-05      
Lambda        AB|SDSS|SDSS_g            4277.762606307925     All      -0.00031881743486455294    0.00014404971809771022    -0.001451225120786532      8.600954769202224e-05      
Lambda        AB|SDSS|SDSS_z            8059.139522157877     All      -4.6395685722869734e-06    1.295720241144947e-06     5.40754043450963e-06       2.174632525394052e-06      
Lambda        AB|SDSS|SDSS_i            6778.557252781653     All      -0.0004901647381451658     -4.008430251498362e-05    -0.0007259325560275277     0.00011421096920339116     
Lambda        AB|SDSS|SDSS_r            5589.756917751005     All      7.0340825796043925e-06     1.999448317233753e-06     -3.9038706402828425e-05    -3.3820641822664936e-06    
MWEBV         All|All|All               All                   All      -0.8764804269730737        -3.481482282734305        0.4588355053738929         -0.828059085187299         
Redshift      All|All|All               All                   All      3.59300770412858           0.3735664180148035        -4.551978477474426         -1.2518118363282649        
