#Format:      
#Parameter    MagSys|Instrument|Band                   RestLamb              Phase    dmu/dP                     dmB/dP                     ds/dP                      dc/dP                      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5263.735168384108     All      0.24387571015852866        0.05785726776501576        -0.8590256116506545        -0.09892669419858391       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_i            7449.819690907082     All      0.36424017685590043        -0.06121664243856628       0.06539283616003866        -0.1356671012184174        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3009    5284.881257056286     All      0.2485649876502025         0.045726963874059834       0.4873416634710692         -0.04432319735524631       
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_u            3521.3819617099734    All      -0.31555365899269794       0.12557547621296905        0.05099122852115778        0.14596577638862074        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_g            4707.129603292837     All      -0.389174637086814         0.4310849804447514         0.2635239455230476         0.27894540653688044        
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_r            6093.158848442599     All      1.0189998230062598         -0.08811172322014116       -0.13577924462502278       -0.366681857570042         
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5264.35053804371      All      0.3786366411978773         0.19634339238834286        0.2112153138413675         -0.049953339027122845      
Zeropoint     Linear_AB11_off|SWOPE|SWOPE_B            4308.954927527261     All      -0.5630939348962432        0.2958613575241742         -0.030336577963524514      0.27843621538743146        
Check         All|All|All                              All                   All      0.9864951078930134         1.0031210725506057         0.05332355327747895        0.007795208943520149       
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-9844    5263.735168384108     All      0.0002590694054575773      5.722438307124467e-05      -0.0010667720419349853     -0.00011335270102000837    
Lambda        Linear_AB11_off|SWOPE|SWOPE_i            7449.819690907082     All      -5.969933218906429e-05     -5.065876142216722e-06     -0.00029509162916833677    4.627329918822616e-06      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3009    5284.881257056286     All      8.839544740623013e-05      1.254911725465625e-05      0.00015900451615876766     -1.761000372567515e-05     
Lambda        Linear_AB11_off|SWOPE|SWOPE_u            3521.3819617099734    All      -0.0005296896733057595     0.00011308293130229159     -0.00028678192920285616    0.00019657442355285339     
Lambda        Linear_AB11_off|SWOPE|SWOPE_g            4707.129603292837     All      -0.00010752133724032593    -0.00013262872133176974    -0.0010020768718537996     -5.2896389425216415e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_r            6093.158848442599     All      -0.0001473777407852185     -1.1201352274894187e-06    -0.0003736514044208271     3.096656780197908e-05      
Lambda        Linear_AB11_off|SWOPE|SWOPE_V-LC-3014    5264.35053804371      All      9.069997638394878e-05      2.9882326085457945e-05     0.00012075013809260859     -1.4421785465734024e-05    
Lambda        Linear_AB11_off|SWOPE|SWOPE_B            4308.954927527261     All      -0.00040124311899789213    9.232643083802187e-05      -0.0008074455461243748     0.00012473925407715787     
MWEBV         All|All|All                              All                   All      -1.0144140405611206        -3.9418784923817896        0.0287369192707998         -0.952289085954583         
Redshift      All|All|All                              All                   All      5.765161223760899          0.526437663159296          12.480036474122107         -1.1494979034680373        
